erp_one_month_ahead,erp_one_quarter_ahead,erp_six_months_ahead,erp_one_year_ahead,erp_two_years_ahead,erp_three_years_ahead,erp_four_years_ahead,erp_five_years_ahead,recession,zeros
-0.05,1.29,1.3,1.37,0.96,-0.41,-8.54,-17.41,-100,0
0.2,1.43,1.48,1.42,1.63,-0.27,-5.13,-18.12,-100,0
0.25,1.66,1.56,1.37,1.87,0.04,-4.83,-16.97,-100,0
3.66,2.77,2.27,1.62,1.58,0.38,-7.98,-16.07,-100,0
4.38,3.61,2.53,1.72,1.95,0.18,-5.76,-17.37,-100,0
3.6,4.95,2.94,2.01,2.29,0.34,-7.35,-16.27,-100,0
1.03,4.02,3.42,2.14,1.9,0.43,-7.71,-16.9,-100,0
0.69,2.94,3.36,2.06,2.37,0.49,-7.54,-17.28,-100,0
2.48,3.3,4.62,3.35,3.5,2.75,-2.65,-9.25,-100,0
0.83,2.53,3.2,2.68,2.27,1.5,-6.12,-14.53,-100,0
0.66,2.2,2.91,2.71,2.91,1.41,-6.35,-13.66,-100,0
1.11,2.52,2.88,3.25,3.3,1.7,-5.45,-11.52,-100,0
2.47,2.68,3,3.05,2.57,1.53,-6.06,-12.13,-100,0
2.35,3.25,3.15,3.43,3.57,1.66,-5.76,-11.03,-100,0
3.39,3.91,3.34,3.69,3.53,1.51,-6.34,-11.32,-100,0
3.02,4.29,3.81,3.46,3.03,1.63,-7.03,-11.1,-100,0
4.84,4.51,4.55,4.02,4.07,1.88,-6.37,-10.34,-100,0
6.38,5.24,5.41,4.49,4.78,1.98,-5.88,-9.06,-100,0
7.14,5.81,5.79,4.5,4.36,1.84,-6.36,-10.68,-100,0
7.57,6.33,5.71,4.47,5.3,1.71,-6.78,-10.54,-100,0
4.89,5.54,5.37,4.57,5.02,2.32,-3.48,-7.68,-100,0
6.32,6.21,6,5.02,4.77,1.8,-4.16,-9.01,-100,0
3.97,4.85,6.03,5.27,5.39,2.56,-3.95,-10.33,-100,0
2.44,4.75,5.52,5.13,5.09,2.34,-4.18,-10.73,-100,0
0.49,3.87,5.11,4.97,4.38,2.26,-4.39,-8.88,-100,0
-0.24,2.54,4.01,4.58,4.86,2.15,-4.96,-12.26,-100,0
-0.23,1.85,3.91,4.57,4.97,2.26,-3.64,-11.69,-100,0
0.59,1.8,3.63,4.52,4.25,2.37,-3.4,-13.37,-100,0
0.27,1.92,2.88,4.4,4.57,2.35,-3.67,-13.58,-100,0
-0.7,1.78,2.35,4.03,4.38,2.55,-3.49,-13.63,-100,0
-1.25,1.38,1.89,3.63,3.9,2.56,-3.44,-13.89,-100,0
-0.56,0.86,1.88,3.19,4.48,2.65,-3.51,-14.55,-100,0
0.54,1.12,1.91,2.75,3.88,2.69,-3.93,-10.99,-100,0
0.35,0.84,1.52,2.52,3.52,2.66,-3.9,-10.64,-100,0
1.62,1.61,1.67,2.37,4.26,2.8,-3.39,-9.96,-100,0
3.4,2.32,1.9,2.48,4.31,2.94,-3.15,-9.45,-100,0
3.41,3.26,2.3,2.32,3.6,3.19,-3.05,-9.9,-100,0
1.22,2.83,2.31,2.21,3.92,2.99,-3.6,-12.27,-100,0
1.34,2.07,2.19,2.16,3.59,2.9,-4.08,-10.57,-100,0
1.46,1.85,2.45,2.25,3.19,2.89,-3.41,-10.67,-100,0
1.29,1.9,2.48,2.22,3.55,2.73,-3.23,-10.91,-100,0
1.87,1.57,1.61,2.3,2.93,2.31,-3.02,-11.82,-100,0
1.14,1.93,1.86,2.72,2.72,2.51,-2.19,-10.08,-100,0
0.84,1.78,1.67,1.86,2.66,2.32,-2.73,-11.16,-100,0
2.08,2.43,2.52,2.72,3.1,3.06,-0.99,-7.06,-100,0
1.7,1.58,1.6,2.32,1.81,2.24,-2.75,-10.43,100,0
3.26,2.72,2.75,3.03,2.66,2.77,0.48,-8.33,100,0
3.78,3.21,2.82,3.08,2.72,2.9,1.13,-8.18,100,0
4.87,3.7,2.86,2.74,2.16,2.72,1.22,-8.37,100,0
5.38,4.47,3.29,2.89,2.64,2.7,3.06,-9.18,100,0
6.27,5.55,4.28,3.49,3.14,3.12,2.23,-7.93,100,0
6.66,6.21,5.54,4.17,3.19,3.52,3.26,-4.81,100,0
6.54,6.41,6.15,4.47,3.74,3.67,5.03,-4.83,100,0
6.32,6.49,6.53,4.82,4.1,3.97,6.2,-1.49,100,0
6.7,6.32,6.58,5.12,3.91,4.05,5.21,-0.37,100,0
6.91,6.79,7.34,6.01,5.02,4.5,8.48,1.55,100,0
5.93,6.34,6.87,6.09,5.16,4.62,7.7,1.95,-100,0
6.8,6.87,7.52,6.96,5.45,4.91,8.49,4.76,-100,0
7.22,6.73,7.49,7.1,6.11,5.09,11.68,5.09,-100,0
7.61,7.16,7.88,7.44,6.44,5.55,12.99,6.77,-100,0
6.67,6.84,7.34,7.17,6.01,5.53,10.51,7.22,-100,0
7.69,7.16,7.47,7.46,6.87,5.94,13.23,8.59,-100,0
8.42,7.15,7.48,7.35,7.04,6.16,12.89,10.24,-100,0
8.83,7.38,7.37,7.12,6.82,6.48,12.12,10.24,-100,0
8.78,7.65,7.69,7.29,7.59,7.07,14.03,11.3,-100,0
8.48,7.84,7.58,7.22,7.58,7.4,13.2,12.22,-100,0
8.64,7.72,7.74,7.25,7.47,7.64,13.14,12.37,-100,0
8.6,7.51,7.7,7.22,7.93,8.05,12.42,15.69,-100,0
6.29,6.28,6.24,6.16,6.79,6.87,9.73,10.42,-100,0
6.45,6.6,6.71,6.67,7.35,8.11,12.87,12.21,-100,0
5.83,4.13,6.23,6.56,7.52,7.92,12.96,17.95,-100,0
5.07,5.46,6.22,6.27,7.22,7.74,12.05,14.27,-100,0
4.61,5.01,5.76,6.09,6.8,7.62,11.1,13.45,-100,0
4.49,4.81,3.3,5.97,7.04,7.63,11.94,12.34,-100,0
4.92,4.71,3.25,5.67,6.99,7.65,12.27,11.23,-100,0
5.4,4.32,3.76,5.54,6.58,7.64,11.45,12.12,-100,0
5,3.54,4.34,5.28,6.5,7.56,12.51,10.68,-100,0
5.09,4.21,5.17,5.04,6.25,7.47,12.63,9.01,-100,0
5.07,4.32,5.77,5.13,6.26,7.63,12.16,9.45,-100,0
5.05,4.38,4.2,4.98,6.49,7.79,14.01,8.12,-100,0
4.13,3.64,4.26,4.1,5.07,6.14,8.48,3.01,-100,0
4.89,4.21,4.7,4.54,5.82,7.51,12.82,8.63,-100,0
5.12,4.19,3.74,4.47,5.65,7.44,12.93,6.88,-100,0
4.94,3.85,4.32,4.42,5.35,7.21,11.99,7.11,-100,0
5.42,4.02,3.85,4.47,5.32,7.22,11.86,9.15,-100,0
5.82,4.05,3.68,4.08,4.98,7.04,12.28,7.59,-100,0
6.18,4.6,3.78,4.38,4.69,6.89,12.59,8.27,-100,0
5.02,4.67,3.73,4.11,4.53,6.66,11.73,8.83,-100,0
5.45,5.16,3.82,4.03,4.18,6.7,12.42,7.57,-100,0
4.9,5.01,4.32,4.4,4.33,6.8,12.65,7.84,-100,0
5.71,5.32,4.94,4.51,4.57,6.83,12.78,11.2,-100,0
6.85,5.63,5.33,4.5,4.14,6.66,13.47,8.9,-100,0
7.15,6.67,6.27,5.49,4.96,7.07,13.68,10.75,100,0
5.95,5.71,5.16,4.33,3.68,6.47,12.54,9.93,100,0
6.57,5.63,5.4,4.55,3.88,6.56,13.15,9.25,100,0
6.85,5.61,5.7,4.66,3.93,6.43,12.79,10.01,100,0
7.48,6.18,6.06,4.94,4.09,6.33,12.25,9.8,100,0
8.81,7.05,6.58,5.58,4.18,6.51,13.03,12.32,100,0
9.63,7.69,7.13,5.84,4.61,6.74,13.56,13.57,100,0
10.85,8.51,7.86,6.17,4.67,6.64,12.43,13.66,100,0
11.37,9.53,8.52,6.68,4.82,6.67,12.44,15.2,100,0
13.12,10.84,9.25,7.41,5.25,6.75,12.72,15.65,100,0
11.72,10.87,9.95,7.75,5.49,6.73,13.06,16.45,100,0
12.23,11.59,11.15,8.15,6.16,7,13.95,19.64,100,0
15,13.06,13.49,10.55,8.81,9.41,19.28,28.12,100,0
13.88,12.67,12.57,9.53,7.21,7.57,15.54,22.5,100,0
13.69,12.41,13.08,10.01,7.87,7.87,15.36,23.4,100,0
13.13,11.73,12.43,9.6,7.98,7.64,14.31,22.22,100,0
12.44,11.56,12.76,10.07,8.42,7.88,15.89,22.89,-100,0
13.02,11.73,12.47,11,9.26,8.36,15.45,24.17,-100,0
12.88,11.04,12.42,11.48,9.42,8.7,14.82,25.61,-100,0
13.98,11.61,12.98,12.03,10.34,9.42,17.91,27.12,-100,0
15.32,12.61,13.38,12.66,11.21,9.94,16.88,26.62,-100,0
16.92,14.04,13.71,13.49,12.37,10.77,18.7,28.95,-100,0
17.4,15.02,14.38,14.32,13.03,11.3,21.54,32.15,-100,0
16.85,15.24,14.49,13.42,12.44,11.37,26.06,29.99,-100,0
15.44,14.2,14.26,12.89,12.17,11.29,24.01,29.41,-100,0
16.24,15.55,15.58,13.73,13.4,12.01,27.11,33.15,-100,0
14.75,14.4,14.62,13.08,12.9,11.71,26.25,28.46,-100,0
13.56,13.23,14.19,12.09,12.48,11.72,26.65,27.15,-100,0
13.35,12.75,13.82,11.8,12.67,11.78,26.61,31.22,-100,0
12.66,11.48,12.75,11.48,12.64,11.5,25.99,25.07,-100,0
11.52,10.42,11.77,11.29,12.74,11.54,25.91,22.24,-100,0
11.43,10.36,11.38,10.88,12.49,11.65,23.88,27.19,-100,0
12.28,10.6,11.42,11.87,12.99,12.17,27.08,22.41,-100,0
12.87,10.77,11.01,12.14,13.06,12.38,27.64,23.52,-100,0
13.31,11.13,11.23,11.88,13.07,12.45,27.56,28.74,-100,0
13.38,11.49,11.41,11.84,12.67,12.73,27.95,33.22,-100,0
