Row,one_month_ahead,one_quarter_ahead,six_months_ahead,one_year_ahead,two_years_ahead,three_years_ahead,four_years_ahead,five_years_ahead
01-Jan-1960,-6.1,-5.52,-6.61,-4.77,NaN,-6,-16.78,-25.33
01-Feb-1960,NaN,-5.75,-5.52,NaN,NaN,-5.83,-16.55,-24.99
01-Mar-1960,NaN,-4.9,-4.99,-5.6,-4.53,-5.75,-16.13,-24.67
01-Apr-1960,NaN,NaN,-5.43,-5.17,-4.54,-5.88,-16.14,-24.34
01-May-1960,NaN,NaN,-5.94,-5.33,-4.59,-5.77,-15.76,-23.59
01-Jun-1960,NaN,NaN,-5.31,-4.69,NaN,-5.52,-15.78,-22.86
mean,5.14,4.58,3.94,4.09,3.74,3.81,2.3,-0.44
zeros,0,0,0,0,0,0,0,0
