erp_one_month_ahead,erp_one_quarter_ahead,erp_six_months_ahead,erp_one_year_ahead,erp_two_years_ahead,erp_three_years_ahead,erp_four_years_ahead,erp_five_years_ahead,recession,zeros
0.06,1.7,1.2,1.25,1.67,-1.19,-7.17,-6.95,-100,0
-0.05,1.46,1.59,1.44,1.25,-1.13,-7.62,-7.14,-100,0
0.2,1.59,1.75,1.48,1.85,-1.05,-7.21,-7.49,-100,0
0.25,1.81,1.84,1.4,2.07,-0.73,-6.94,-6.95,-100,0
3.66,2.81,2.45,1.68,1.85,-0.34,-7.18,-6.52,-100,0
4.38,3.54,2.65,1.8,2.17,-0.53,-7.17,-7.23,-100,0
3.6,4.75,3.05,2.09,2.48,-0.42,-6.72,-6.68,-100,0
1.03,3.92,3.46,2.23,2.16,-0.31,-6.95,-7.02,-100,0
0.69,2.96,3.44,2.17,2.56,-0.26,-6.82,-7.25,-100,0
2.48,3.45,4.75,3.53,3.8,2.56,-2.04,-2.21,-100,0
0.83,2.62,3.36,2.81,2.49,0.9,-5.94,-5.83,-100,0
0.66,2.32,3.13,2.83,3.06,0.77,-6,-5.4,-100,0
1.11,2.64,3.13,3.35,3.41,1.01,-5.41,-4.28,-100,0
2.47,2.77,3.17,3.15,2.78,0.94,-5.77,-4.59,-100,0
2.35,3.31,3.31,3.54,3.68,0.98,-5.54,-4,-100,0
3.39,3.89,3.44,3.78,3.66,0.86,-5.68,-4.16,-100,0
3.02,4.25,3.82,3.44,3.23,1.04,-5.89,-4.04,-100,0
4.84,4.45,4.45,4.06,4.17,1.22,-5.51,-3.63,-100,0
6.38,5.11,5.1,4.45,4.82,1.29,-5.24,-2.97,-100,0
7.14,5.6,5.52,4.47,4.42,1.25,-5.51,-3.77,-100,0
7.57,6.04,5.43,4.34,5.22,1.08,-5.69,-3.75,-100,0
4.89,5.44,5.2,4.57,5.15,2.1,-1.94,-2.02,-100,0
6.32,5.94,5.6,4.85,4.79,1.27,-3.32,-3.7,-100,0
3.97,4.7,5.63,5.06,5.36,2.07,-3.24,-4.08,-100,0
2.44,4.58,5.1,4.89,5.24,1.89,-3.39,-4.38,-100,0
0.49,3.79,4.75,4.81,4.44,1.91,-3.51,-3.53,-100,0
-0.24,2.58,3.82,4.46,4.88,1.75,-4.07,-4.86,-100,0
-0.23,1.98,3.75,4.48,5.01,1.85,-3.11,-4.45,-100,0
0.59,1.96,3.57,4.46,4.38,2.05,-2.95,-5.29,-100,0
0.27,2.08,2.95,4.39,4.67,1.95,-3.1,-5.39,-100,0
-0.7,1.96,2.54,4.05,4.51,2.31,-2.99,-5.42,-100,0
-1.25,1.6,2.16,3.68,4.06,2.4,-2.99,-5.58,-100,0
-0.56,1.12,2.18,3.24,4.58,2.4,-3.04,-5.91,-100,0
0.54,1.42,2.31,2.93,4.17,2.68,-2.37,-3,-100,0
0.35,1.09,1.84,2.71,3.7,2.51,-3.27,-3.43,-100,0
1.62,1.8,2.02,2.57,4.39,2.56,-3,-3.07,-100,0
3.4,2.45,2.22,2.71,4.43,2.68,-2.88,-2.82,-100,0
3.41,3.28,2.56,2.49,3.78,2.98,-2.82,-3.06,-100,0
1.22,2.91,2.56,2.4,4.06,2.75,-3.19,-4.14,-100,0
1.34,2.21,2.43,2.38,3.76,2.68,-3.54,-3.45,-100,0
1.46,1.99,2.73,2.48,3.41,2.77,-3.05,-3.46,-100,0
1.29,2.06,2.78,2.47,3.73,2.58,-2.99,-3.59,-100,0
1.87,1.74,1.91,1.9,3.15,2.22,-2.34,-4.71,-100,0
1.14,2.1,2.19,2.24,3.05,2.45,-1.82,-3.92,-100,0
0.84,1.96,2.08,2.12,2.97,2.21,-2.19,-4.45,-100,0
2.08,2.66,2.98,3.03,3.56,3.25,-0.09,-1.52,-100,0
1.7,1.75,2.09,2.1,2.24,2.23,-2.17,-4.41,100,0
3.26,2.83,3.14,2.84,3.01,2.62,0.2,-3.26,100,0
3.78,3.28,3.16,2.64,3.07,2.76,0.6,-3.25,100,0
4.87,3.7,3.18,2.38,2.54,2.68,0.63,-3.57,100,0
5.38,4.37,3.55,2.53,2.95,2.6,0.08,-4.03,100,0
6.27,5.33,4.43,3.71,3.39,2.98,0.84,-3.44,100,0
6.66,5.97,5.59,4.35,3.44,3.37,1.73,-1.94,100,0
6.54,6.17,6.06,4.6,3.92,3.46,1.83,-2.09,100,0
6.32,6.23,6.41,4.9,4.24,3.77,2.47,-0.2,100,0
6.7,6.06,6.44,5.17,4.05,3.88,2.75,0.19,100,0
6.91,6.54,7.16,6.02,5.05,4.26,3.36,1.13,100,0
5.93,6.25,6.82,6.19,5.33,4.6,4.04,2.26,-100,0
6.8,6.64,7.27,6.92,5.43,4.63,4.7,2.7,-100,0
7.22,6.51,7.23,7.03,6.01,4.77,5.46,2.79,-100,0
7.61,6.93,7.6,7.38,6.31,5.15,6.25,3.62,-100,0
6.67,6.62,7.06,7.09,5.94,5.17,6.03,3.68,-100,0
7.69,6.94,7.18,7.36,6.7,5.49,6.61,4.75,-100,0
8.42,6.92,7.17,7.23,6.8,5.66,6.85,5.21,-100,0
8.83,7.11,7.05,6.97,6.57,5.98,7.08,5.33,-100,0
8.78,7.37,7.34,7.1,7.24,6.41,7.73,5.9,-100,0
8.48,7.55,7.25,7.04,7.23,6.67,7.67,6.17,-100,0
8.64,7.44,7.41,7.08,7.12,6.93,7.95,6.11,-100,0
8.6,7.23,7.38,7.06,7.53,7.23,7.3,5.9,-100,0
6.29,6.19,6.14,6.17,6.65,6.42,5.98,4.67,-100,0
6.45,6.41,6.47,6.53,7.01,7.37,7.84,5.84,-100,0
5.83,4.13,6.04,6.43,7.19,7.21,7.3,7.95,-100,0
5.07,5.34,6.05,6.17,6.96,7.13,7.24,7.21,-100,0
4.61,4.92,5.61,6.03,6.6,7.09,7.22,7.22,-100,0
4.49,4.73,3.42,5.94,6.83,7.07,6.82,6.87,-100,0
4.92,4.64,3.39,5.6,6.8,7.1,7.01,6.7,-100,0
5.4,4.3,3.9,5.48,6.46,7.16,7.39,7.12,-100,0
5,3.57,4.44,5.23,6.37,7.07,7.18,6.63,-100,0
5.09,4.18,5.18,5.02,6.16,7.03,6.88,5.9,-100,0
5.07,4.3,5.72,5.14,6.21,7.21,7.74,6.1,-100,0
5.05,4.37,4.33,5.08,6.42,7.32,7.88,5.7,-100,0
4.13,3.75,4.41,4.33,5.25,5.9,5.17,3.55,-100,0
4.89,4.23,4.75,4.73,5.86,7.14,8.26,5.86,-100,0
5.12,4.21,3.91,4.69,5.68,7.08,7.5,5.22,-100,0
4.94,3.86,4.42,4.67,5.42,6.9,6.61,5.34,-100,0
5.42,4,4.03,4.72,5.44,6.97,7.63,6.1,-100,0
5.82,4.02,3.88,4.28,5.11,6.79,6.79,5.42,-100,0
6.18,4.51,3.95,4.6,4.83,6.66,6.82,5.67,-100,0
5.02,4.57,3.91,4.32,4.72,6.51,7.28,5.87,-100,0
5.45,5.02,4,4.22,4.35,6.56,6.87,5.37,-100,0
4.9,4.91,4.48,4.61,4.5,6.66,7.11,5.57,-100,0
5.71,5.23,5.05,4.72,4.77,6.7,8.03,6.97,-100,0
6.85,5.54,5.4,4.69,4.4,6.55,7.36,6.04,-100,0
7.15,6.63,6.38,5.73,5.3,7.24,8.65,7.84,100,0
5.95,5.61,5.28,4.5,3.96,6.41,7.82,6.48,100,0
6.57,5.54,5.54,4.68,4.16,6.5,7.77,6.29,100,0
6.85,5.52,5.81,4.78,4.22,6.4,7.58,5.45,100,0
7.48,6.03,6.12,5.06,4.37,6.28,7.99,6.41,100,0
8.81,6.81,6.6,5.7,4.42,6.47,7.98,6.59,100,0
9.63,7.38,7.08,5.98,4.8,6.7,8.26,6.91,100,0
10.85,8.1,7.67,6.28,4.82,6.56,8.1,7.91,100,0
11.37,9.01,8.2,6.76,4.92,6.6,8.04,7.66,100,0
13.12,10.16,8.8,7.4,5.27,6.63,8.34,7.87,100,0
11.72,10.25,9.43,7.7,5.47,6.55,8.53,9.03,100,0
12.23,10.99,10.54,8.08,6.05,6.72,8.94,9.33,100,0
15,12.61,12.83,10.57,8.69,9.49,13.8,14.81,100,0
13.88,12.08,11.88,9.36,6.82,7.21,10.11,11.63,100,0
13.69,11.86,12.37,9.82,7.52,7.46,10.29,11.67,100,0
13.13,11.19,11.72,9.41,7.57,7.24,9.77,10.97,100,0
12.44,11.03,12,9.87,7.55,7.44,10.34,11.88,-100,0
13.02,11.21,11.77,10.8,8.69,7.83,10.45,12.18,-100,0
12.88,10.57,11.64,11.28,8.85,8.12,10.78,12.84,-100,0
13.98,11.13,12.15,11.83,9.67,8.75,11.87,14.03,-100,0
15.32,12.05,12.53,12.42,10.4,9.2,11.95,14,-100,0
16.92,13.37,12.88,13.2,11.37,9.9,13.16,15.33,-100,0
17.4,14.24,13.44,13.93,11.9,10.31,14.02,16.51,-100,0
16.85,14.43,13.46,13.01,11.48,10.36,15.95,15.55,-100,0
15.44,13.63,13.11,12.63,11.3,10.6,15.64,16.09,-100,0
16.24,14.73,13.97,13.22,11.99,10.86,16.71,16.68,-100,0
14.75,13.65,13.45,12.57,11.44,10.6,16.19,15.12,-100,0
13.56,12.58,13.03,11.62,11.35,10.61,16.03,14.65,-100,0
13.35,12.09,12.64,11.38,11.51,10.66,16.02,15.47,-100,0
12.66,10.89,11.66,11.06,11.43,10.44,15.52,13.54,-100,0
11.52,9.92,10.78,10.9,11.53,10.51,15.54,12.94,-100,0
11.43,9.89,10.37,10.55,11.38,10.61,14.37,13.58,-100,0
12.28,10.14,10.48,11.49,11.87,11.11,16.39,14.21,-100,0
12.87,10.32,10.19,11.74,11.96,11.3,16.76,14.81,-100,0
13.31,10.66,10.42,11.48,11.96,11.36,16.71,15.6,-100,0
13.38,11.01,10.62,11.45,11.71,11.65,17.13,17.1,-100,0
12.66,11.08,10.9,10.65,11.48,11.65,17.17,16.35,-100,0
12.72,10.37,10.36,9.83,11.17,11.43,15.72,15.65,-100,0
12.18,10.07,10.22,9.42,10.97,11.45,16.46,15.71,-100,0
12.22,10.11,10.25,8.93,10.59,11.68,16.56,15.46,-100,0
12.28,9.92,10.2,9.52,10.47,11.81,16.09,16.35,-100,0
12.55,10.11,10.32,9.6,10.72,12.04,17.02,16.3,-100,0
12.36,10.33,10.43,9.7,10.84,12.25,17.46,16.66,-100,0
12.22,9.99,10.04,9.92,10.46,12.17,16.77,16.81,-100,0
12.45,10.09,10.34,9.98,10.58,12.31,17.71,16.84,-100,0
12.29,10.03,10.3,9.69,10.58,12.24,17.68,16.67,-100,0
12.73,10.37,10.32,9.69,10.64,12.23,17.43,17.43,-100,0
12.8,10.58,10.43,9.72,10.65,12.29,18.41,17.33,-100,0
14.3,12.25,12.1,11.31,11.43,13.62,21.02,20.59,-100,0
13.07,10.81,10.48,9.23,9.94,12.28,18.34,18.11,-100,0
13.6,11.37,10.79,9.53,9.87,12.41,18.74,18.13,-100,0
13.66,11.78,11.13,9.77,9.49,12.47,19.04,18.47,-100,0
13.16,11.74,11.4,9.74,9.91,12.39,19.29,19.3,-100,0
13.03,11.52,11.53,9.68,9.83,12.53,19.35,19.96,-100,0
13.39,11.37,11.6,9.72,9.71,12.53,19.33,19.94,-100,0
13,11.59,11.48,9.97,9.98,12.47,19.42,19.74,-100,0
12.43,11.75,11.57,10.26,10.16,12.93,19.75,21.01,-100,0
12.68,12.07,12.06,10.54,10.11,12.97,19.79,21.39,-100,0
13.87,12.3,12.15,10.71,10.05,13.01,19.71,20.77,-100,0
13.79,12.77,12.32,10.98,10.08,13.04,19.94,21.6,-100,0
14.75,13.92,13.3,12.35,11.21,13.81,21.78,23.76,-100,0
13.7,13.43,12.74,11.32,10.48,12.84,19.61,21.89,-100,0
14.36,13.48,12.97,11.22,10.3,12.75,20.34,22.7,-100,0
13.98,13.2,13.38,12.16,9.92,12.6,20.61,22.8,-100,0
13.53,12.93,12.93,11.75,10.06,12.18,19.4,21.68,-100,0
13.85,12.48,12.25,11.62,9.55,12.21,19.98,22.55,-100,0
13.52,12.67,12.71,11.54,9.7,12.23,20.15,22.99,-100,0
13.28,12,12.63,11.38,10.13,12.12,19.54,21.98,-100,0
12.49,11.49,11.47,10.82,9.23,11.85,18.48,21.98,-100,0
11.94,10.97,11.1,10.77,9.13,11.93,17.71,21.72,-100,0
11.7,10,9.8,10.3,9.1,11.49,17.41,19.99,-100,0
12.85,11.09,10.81,11.1,9.19,11.92,16.27,21.73,-100,0
15.23,13.4,13.13,13.5,11.42,14,20.8,25.63,-100,0
11.25,11.01,9.7,10.82,9.09,11.35,16.99,19.83,-100,0
10.3,9.98,9.04,10.09,7.88,10.75,14.24,18.89,100,0
10.74,9.43,9.17,9.89,9.04,10.68,14.49,18.55,100,0
12.43,11.22,10.9,10.85,10.01,11.33,16.96,20.24,100,0
13.61,11.3,11.26,11.26,10.54,11.77,17.24,21.31,100,0
13.72,12.22,11.28,11.02,10.63,11.84,17.45,21.32,100,0
