
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198005   5.99   3.76   7.38   4.65   7.93   4.91   7.74   4.57   7.03   2.46
198006   1.45   0.47  -0.01   1.68   0.54   1.88   1.33   0.67   0.97   0.21
198007  -4.60  -4.14  -4.87  -3.38  -6.89  -5.29  -6.22  -1.67  -5.89  -6.89
198008   2.16   3.81   1.24   3.95  -1.19   0.66  -0.32   2.67   1.05   0.33
198009  -0.50  -4.94   1.84  -3.52   2.03  -5.41   2.42  -2.12   1.03  -1.38
198010   4.04  -2.31   9.52  -3.81  10.52  -5.73  10.29  -1.34   8.58  -2.94
198011  -3.94  -5.22  -4.38  -2.17  -4.08  -0.09  -4.28  -4.79  -4.43  -7.10
198012  -7.73  -6.27  -9.36  -5.55  -9.72  -6.93  -9.97  -5.03 -10.09  -3.74
198101 -12.31 -14.28 -11.59 -14.50 -12.36 -16.53 -11.93 -13.28 -12.71 -10.60
198102   0.89   2.68   0.38  -0.29   1.17   5.43   2.19   3.37  -0.69   6.17
198103   3.47   6.29   0.50   6.64   2.04   4.38   2.14   5.00   1.95   4.43
198104 -10.73 -10.43  -7.23 -13.90  -9.44 -10.31  -8.49 -10.18 -11.52 -11.01
198105 -24.32 -25.60 -23.42 -28.15 -18.39 -26.98 -19.10 -25.35 -27.84 -23.87
198106  -8.30  -7.56  -7.54 -10.71  -6.03 -11.84  -4.83  -8.62 -10.80 -14.60
198107   7.56   2.73   9.09  10.01   7.41   3.58   7.53  -3.61  15.83  13.32
198108   4.85   6.31   4.90   3.71   3.63   7.20   4.27   7.69   2.68   0.32
198109   3.53   8.39   5.99  -0.86   2.14   5.90   3.52   9.00   0.79  12.57
198110  -4.26   0.30  -8.05   1.29  -7.74   1.84  -7.37   0.70  -6.28  -6.80
198111   6.98   8.04   5.56   9.26   6.94   9.94   7.53   8.65   6.83  10.60
198112  -4.41  -5.02  -6.02  -4.33  -5.51  -4.95  -5.85  -2.46  -4.49  -0.04
