This file was created using the 201509 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,WML,RF
199902   ,-2.29    ,2.73   ,-1.13   ,-1.76    ,0.35
199903   ,-0.16   ,-0.19    ,1.33   ,-7.71    ,0.43
199904    ,2.83    ,0.83    ,1.90   ,-7.47    ,0.37
199905   ,-3.72    ,4.40    ,0.12    ,3.50    ,0.34
199906    ,1.63   ,-0.10    ,0.63    ,0.99    ,0.40
199907    ,1.14    ,3.51    ,0.39    ,4.09    ,0.38
199908    ,1.36    ,3.86   ,-0.81    ,4.73    ,0.39
199909   ,-0.31    ,1.97   ,-1.16    ,1.71    ,0.39
199910    ,1.71   ,-1.46   ,-3.32    ,5.45    ,0.39
199911    ,2.71    ,1.24   ,-9.27   ,12.88    ,0.36
199912    ,9.22   ,-5.01   ,-4.51    ,6.49    ,0.44
200001   ,-7.19    ,9.31   ,-6.23    ,5.81    ,0.41
200002    ,5.87    ,1.35   ,-9.57    ,8.50    ,0.43
200003    ,0.68   ,-5.45    ,3.78  ,-11.38    ,0.47
200004   ,-5.62   ,-5.09    ,5.05   ,-9.01    ,0.46
200005   ,-0.05   ,-0.20    ,6.17   ,-6.77    ,0.50
200006    ,0.71    ,0.18    ,2.73   ,-0.62    ,0.40
200007   ,-1.63   ,-1.17    ,3.62   ,-1.20    ,0.48
200008   ,-1.57    ,0.61   ,-0.03    ,3.25    ,0.50
200009   ,-4.95    ,1.96    ,2.86   ,-3.89    ,0.51
200010   ,-2.72   ,-6.85    ,7.74   ,-4.82    ,0.56
200011   ,-4.50   ,-1.24   ,10.96   ,-5.19    ,0.51
200012    ,5.78    ,0.29    ,3.53    ,0.83    ,0.50
200101    ,0.22    ,1.76    ,1.23   ,-6.41    ,0.54
200102   ,-8.57    ,4.56    ,8.59    ,7.55    ,0.38
200103   ,-9.27   ,-1.06    ,5.38    ,3.93    ,0.42
200104    ,7.28   ,-3.60   ,-2.75   ,-4.22    ,0.39
200105   ,-4.99    ,2.60    ,3.84    ,6.73    ,0.32
200106   ,-3.54   ,-1.23    ,6.01    ,9.49    ,0.28
200107   ,-0.69   ,-2.13    ,3.70    ,1.42    ,0.30
200108   ,-2.08    ,2.18    ,4.21    ,8.07    ,0.31
200109  ,-11.52   ,-5.27    ,2.53    ,9.89    ,0.28
200110    ,3.23    ,1.84   ,-3.26   ,-6.63    ,0.22
200111    ,4.12    ,1.87   ,-1.19   ,-9.68    ,0.17
200112    ,1.76   ,-1.72    ,1.23    ,2.74    ,0.15
200201   ,-4.71    ,3.00    ,2.02    ,5.91    ,0.14
200202    ,0.39   ,-0.28    ,1.54    ,5.90    ,0.13
200203    ,5.09   ,-0.41    ,0.73   ,-2.56    ,0.13
200204   ,-0.28    ,2.90    ,4.79    ,6.11    ,0.15
200205    ,0.40    ,1.81    ,4.72    ,4.84    ,0.14
200206   ,-2.50    ,1.20    ,2.47    ,8.11    ,0.13
200207  ,-10.52    ,1.64    ,3.33    ,4.63    ,0.15
200208    ,0.20   ,-2.14    ,2.00    ,2.26    ,0.14
200209  ,-13.15    ,3.26   ,-2.01   ,13.80    ,0.14
200210    ,8.61   ,-6.94   ,-0.73   ,-6.03    ,0.14
200211    ,4.85   ,-0.85    ,2.17   ,-8.82    ,0.12
200212   ,-2.78    ,3.62    ,3.22   ,11.67    ,0.11
200301   ,-3.38    ,2.00    ,2.67    ,2.38    ,0.10
200302   ,-3.39    ,0.35    ,1.67    ,6.42    ,0.09
200303   ,-1.42    ,0.78   ,-0.56    ,2.07    ,0.10
200304   ,13.17   ,-2.15    ,0.21  ,-13.91    ,0.10
200305    ,7.59    ,2.62    ,1.30   ,-2.30    ,0.09
200306    ,1.09    ,1.98    ,0.54   ,-4.35    ,0.10
200307    ,1.76    ,0.88    ,3.94   ,-4.57    ,0.07
200308    ,0.09    ,3.13    ,0.00   ,-2.35    ,0.07
200309    ,2.86    ,2.35    ,0.47    ,1.17    ,0.08
200310    ,6.22   ,-1.30    ,3.57    ,5.59    ,0.07
200311    ,4.50   ,-0.02    ,0.30   ,-0.10    ,0.07
200312    ,7.26   ,-1.96    ,0.61   ,-0.57    ,0.08
200401    ,2.48    ,3.62    ,2.22    ,3.67    ,0.07
200402    ,3.07    ,1.12    ,0.17    ,0.51    ,0.06
200403   ,-3.31    ,0.89   ,-0.11   ,-2.33    ,0.09
200404   ,-1.21   ,-0.93    ,0.70   ,-1.78    ,0.08
200405    ,1.38   ,-1.02   ,-0.82   ,-0.40    ,0.06
200406    ,1.98    ,1.08    ,0.84    ,2.04    ,0.08
200407   ,-3.18    ,0.20    ,0.48    ,0.39    ,0.10
200408    ,0.33   ,-0.42    ,1.45    ,1.31    ,0.11
200409    ,4.02    ,0.19    ,0.63    ,2.44    ,0.11
200410    ,4.02    ,0.11    ,0.83    ,0.04    ,0.11
200411    ,6.84    ,2.16    ,1.67    ,0.78    ,0.15
200412    ,4.30    ,0.35    ,0.78    ,0.92    ,0.16
200501   ,-1.25    ,3.52    ,1.51    ,0.98    ,0.16
200502    ,4.54    ,0.84    ,1.00    ,1.57    ,0.16
200503   ,-2.52   ,-0.16    ,0.14    ,0.30    ,0.21
200504   ,-2.57    ,0.57   ,-0.10    ,0.86    ,0.21
200505   ,-0.01   ,-1.67    ,1.02    ,1.57    ,0.24
200506    ,1.51    ,0.95    ,1.55    ,3.43    ,0.23
200507    ,3.80    ,0.33    ,1.38    ,1.20    ,0.24
200508    ,2.05    ,2.25    ,0.02    ,2.70    ,0.30
200509    ,1.45   ,-0.40    ,0.07    ,3.07    ,0.29
200510   ,-3.36   ,-1.20    ,0.27   ,-1.77    ,0.27
200511    ,1.34   ,-0.46    ,0.46    ,1.41    ,0.31
200512    ,3.80    ,0.47    ,0.41    ,1.31    ,0.32
200601    ,6.37    ,2.22    ,1.50    ,4.41    ,0.35
200602    ,0.55    ,2.25    ,1.62    ,0.76    ,0.34
200603    ,4.01    ,0.67    ,1.59    ,2.24    ,0.37
200604    ,5.23    ,1.71   ,-0.35    ,3.11    ,0.36
200605   ,-3.62   ,-0.79   ,-0.85   ,-3.07    ,0.43
200606   ,-0.29   ,-1.50   ,-0.46   ,-1.24    ,0.40
200607    ,1.00   ,-1.80    ,1.36    ,0.10    ,0.40
200608    ,2.72   ,-0.34    ,0.56   ,-0.19    ,0.42
200609    ,0.69    ,0.05    ,0.50    ,1.15    ,0.41
200610    ,3.78    ,0.09    ,1.44    ,0.73    ,0.41
200611    ,3.77    ,2.59    ,0.20    ,1.77    ,0.42
200612    ,3.37    ,0.91    ,0.54    ,2.86    ,0.40
200701    ,0.65    ,1.91    ,0.88    ,0.96    ,0.44
200702   ,-0.55    ,1.30   ,-0.05    ,0.98    ,0.38
200703    ,3.69    ,0.69    ,0.04    ,2.02    ,0.43
200704    ,5.59   ,-0.20    ,1.20    ,0.47    ,0.44
200705    ,1.55   ,-0.75    ,0.43    ,1.31    ,0.41
200706   ,-0.24   ,-0.61    ,0.31   ,-0.39    ,0.40
200707   ,-2.22    ,1.73   ,-0.42    ,1.60    ,0.40
200708   ,-2.11   ,-3.14   ,-0.21   ,-0.14    ,0.42
200709    ,4.79   ,-3.67   ,-0.74    ,3.73    ,0.32
200710    ,4.35    ,0.26   ,-1.28    ,3.97    ,0.32
200711   ,-4.07   ,-4.65   ,-1.70    ,1.89    ,0.34
200712   ,-2.16   ,-0.88    ,0.96    ,2.24    ,0.27
200801   ,-9.93    ,0.13    ,0.37    ,0.60    ,0.21
200802    ,1.98    ,2.70   ,-0.52    ,1.75    ,0.13
200803    ,0.26   ,-0.54    ,2.23    ,0.20    ,0.17
200804    ,4.41   ,-2.48   ,-0.07    ,0.27    ,0.18
200805    ,0.87    ,0.58   ,-1.28    ,4.60    ,0.18
200806   ,-8.64    ,1.58   ,-0.83    ,9.66    ,0.17
200807   ,-3.73   ,-2.23    ,0.73   ,-2.13    ,0.15
200808   ,-4.40    ,0.02   ,-0.17   ,-4.92    ,0.13
200809  ,-15.12   ,-3.19    ,0.60    ,3.83    ,0.15
200810  ,-22.14   ,-4.51   ,-2.61    ,9.87    ,0.08
200811   ,-7.05   ,-1.17   ,-3.53    ,2.71    ,0.03
200812    ,6.61   ,-1.34    ,2.11   ,-0.85    ,0.00
200901  ,-10.97    ,4.85   ,-3.97    ,3.41    ,0.00
200902  ,-10.02    ,4.24   ,-4.60    ,4.50    ,0.01
200903    ,7.03   ,-2.51    ,1.90  ,-10.03    ,0.02
200904   ,13.78    ,2.19    ,5.60  ,-25.96    ,0.01
200905   ,12.86    ,1.22   ,-1.18   ,-7.72    ,0.00
200906   ,-1.85    ,1.34   ,-1.28    ,2.50    ,0.01
200907   ,10.25   ,-3.86    ,3.66   ,-1.75    ,0.01
200908    ,5.66    ,1.82    ,7.45   ,-9.33    ,0.01
200909    ,5.36    ,1.89    ,1.04   ,-3.06    ,0.01
200910   ,-1.90    ,1.46   ,-3.42    ,3.66    ,0.00
200911    ,3.00   ,-2.07   ,-1.18    ,2.00    ,0.00
200912    ,1.05   ,-1.88   ,-1.50    ,0.43    ,0.01
201001   ,-5.36    ,4.74   ,-1.86    ,0.54    ,0.00
201002   ,-2.18   ,-0.60   ,-1.67    ,0.33    ,0.00
201003    ,6.54   ,-0.97    ,4.18    ,5.05    ,0.01
201004   ,-1.93    ,3.40   ,-0.61    ,2.06    ,0.01
201005  ,-12.05   ,-0.29   ,-3.51    ,1.30    ,0.01
201006   ,-0.94   ,-0.08   ,-2.16    ,1.67    ,0.01
201007   ,11.85   ,-1.71    ,4.94   ,-1.68    ,0.01
201008   ,-4.25   ,-0.08   ,-2.83    ,3.51    ,0.01
201009   ,11.54    ,1.09    ,0.21    ,5.04    ,0.01
201010    ,5.10    ,0.29    ,0.14    ,0.04    ,0.01
201011   ,-8.10    ,1.25   ,-3.18    ,7.82    ,0.01
201012    ,8.97    ,2.49    ,1.31    ,1.48    ,0.01
201101    ,3.71   ,-0.79    ,4.84   ,-5.56    ,0.01
201102    ,3.05   ,-1.13    ,0.81   ,-0.18    ,0.01
201103   ,-0.19    ,2.31   ,-1.87    ,2.00    ,0.01
201104    ,8.09   ,-0.97   ,-0.64    ,2.44    ,0.00
201105   ,-3.04    ,0.09   ,-2.26    ,0.55    ,0.00
201106   ,-2.02   ,-1.42    ,0.16    ,2.31    ,0.00
201107   ,-3.45    ,0.38   ,-3.76    ,0.86    ,0.00
201108  ,-10.13    ,0.87   ,-3.83   ,-0.49    ,0.01
201109  ,-11.63   ,-1.35   ,-1.95   ,-1.44    ,0.00
201110   ,11.05   ,-3.20   ,-1.61    ,0.18    ,0.00
201111   ,-4.72   ,-2.72   ,-3.42    ,6.06    ,0.00
201112   ,-2.15   ,-0.98   ,-1.23    ,2.85    ,0.00
201201    ,5.67    ,2.84    ,0.91   ,-8.61    ,0.00
201202    ,6.41    ,1.44   ,-0.37   ,-1.81    ,0.00
201203    ,0.06    ,0.47   ,-1.70    ,3.50    ,0.00
201204   ,-2.25    ,1.38   ,-4.47    ,6.62    ,0.00
201205  ,-12.31    ,0.20   ,-2.67    ,7.37    ,0.01
201206    ,7.10   ,-4.49    ,3.13   ,-3.94    ,0.00
201207    ,0.63   ,-1.25   ,-2.59    ,4.47    ,0.00
201208    ,4.59   ,-0.14    ,3.16   ,-3.52    ,0.01
201209    ,3.47    ,1.46    ,2.28   ,-0.98    ,0.01
201210    ,1.69   ,-0.61    ,1.74    ,0.50    ,0.01
201211    ,2.24   ,-2.34   ,-0.45    ,2.11    ,0.01
201212    ,3.47    ,2.31    ,2.77   ,-0.99    ,0.01
201301    ,6.25    ,0.56    ,4.28   ,-0.60    ,0.00
201302   ,-2.40    ,1.94   ,-3.28    ,4.30    ,0.00
201303   ,-0.49   ,-0.78   ,-4.23    ,2.61    ,0.00
201304    ,4.16   ,-1.48    ,3.70    ,0.86    ,0.00
201305    ,1.13    ,1.11    ,2.57    ,0.75    ,0.00
201306   ,-4.55    ,2.22   ,-2.69    ,1.13    ,0.00
201307    ,7.42   ,-1.61    ,2.59    ,3.53    ,0.00
201308   ,-0.75    ,2.95    ,0.32   ,-2.18    ,0.00
201309    ,7.09    ,0.08    ,1.08    ,2.44    ,0.00
201310    ,4.48   ,-0.13    ,4.24    ,2.02    ,0.00
201311    ,1.40    ,0.81   ,-0.64    ,2.61    ,0.00
201312    ,2.41    ,0.43    ,0.17    ,1.64    ,0.00
201401   ,-3.06    ,3.57    ,2.61    ,2.60    ,0.00
201402    ,7.31    ,0.49    ,0.30    ,2.50    ,0.00
201403   ,-0.49    ,0.32    ,1.76   ,-1.07    ,0.00
201404    ,1.71   ,-2.13    ,0.44   ,-3.40    ,0.00
201405    ,0.76   ,-0.65   ,-0.56   ,-0.36    ,0.00
201406   ,-0.12    ,0.10   ,-1.69    ,0.17    ,0.00
201407   ,-4.08   ,-0.57    ,0.30   ,-0.68    ,0.00
201408   ,-0.06   ,-0.88   ,-0.98    ,0.33    ,0.00
201409   ,-3.76   ,-2.28   ,-0.47    ,2.53    ,0.00
201410   ,-2.71   ,-1.17   ,-3.35    ,0.92    ,0.00
201411    ,2.24   ,-1.26   ,-1.68   ,-0.69    ,0.00
201412   ,-3.84    ,2.56   ,-2.79    ,2.13    ,0.00
201501   ,-0.31   ,-1.59   ,-3.37    ,3.20    ,0.00
201502    ,6.23    ,1.04    ,1.88   ,-3.75    ,0.00
201503   ,-2.29   ,-0.45   ,-0.25    ,1.67    ,0.00
201504    ,4.76    ,2.19    ,0.28   ,-2.07    ,0.00
201505   ,-0.18    ,1.74   ,-2.67    ,3.83    ,0.00
201506   ,-2.80    ,2.06    ,0.23    ,1.07    ,0.00
201507    ,2.40   ,-0.77   ,-2.71    ,3.53    ,0.00
201508   ,-6.05    ,3.82   ,-0.84    ,2.16    ,0.00
201509   ,-4.28    ,1.13   ,-3.56    ,4.32    ,0.00



 Annual Factors: January-December
,Mkt-RF,SMB,HML,WML,RF
1991    ,4.70   ,-9.61   ,-6.40    ,8.12    ,5.60
1992  ,-10.26  ,-12.66   ,-2.51   ,15.78    ,3.51
1993   ,26.09    ,4.58   ,23.22    ,5.98    ,2.90
1994    ,0.07    ,7.81    ,5.40   ,-1.00    ,3.90
1995   ,13.68   ,-9.67   ,-5.82   ,25.92    ,5.60
1996   ,16.74   ,-2.14    ,1.96   ,21.30    ,5.21
1997   ,14.65  ,-13.36   ,13.10   ,12.01    ,5.26
1998   ,20.63  ,-15.78   ,-0.52   ,17.81    ,4.86
1999   ,15.00   ,14.86  ,-22.20   ,38.23    ,4.68
2000  ,-15.81   ,-6.24   ,28.17  ,-22.27    ,5.89
2001  ,-23.87    ,0.53   ,25.27   ,21.97    ,3.83
2002  ,-15.62    ,8.20   ,21.79   ,44.32    ,1.65
2003   ,41.69   ,13.06   ,21.33  ,-12.84    ,1.02
2004   ,22.39    ,8.94   ,10.81    ,9.08    ,1.20
2005    ,8.94    ,5.65    ,8.76   ,18.85    ,2.98
2006   ,32.18    ,7.70   ,10.23   ,16.49    ,4.80
2007    ,9.45   ,-9.15   ,-1.01   ,20.24    ,4.66
2008  ,-47.29   ,-6.47   ,-2.50   ,14.90    ,1.60
2009   ,35.45   ,13.81   ,-0.40  ,-49.32    ,0.10
2010    ,5.96   ,10.74   ,-7.68   ,30.10    ,0.12
2011  ,-13.04   ,-7.53  ,-13.50    ,7.84    ,0.04
2012   ,21.01    ,1.54    ,0.75    ,9.05    ,0.06
2013   ,28.51    ,8.38    ,9.27   ,25.04    ,0.02
2014   ,-6.50   ,-1.89   ,-5.81    ,4.50    ,0.02
