This file was created using the 201509 Bloomberg database.

Missing data are indicated by -99.99.



        Mkt-RF     SMB     HML     WML      RF
200102   -7.90    4.31    9.14    6.29    0.38
200103   -8.27   -0.63    4.83    3.50    0.42
200104    7.58   -1.53   -0.72   -2.32    0.39
200105   -3.17    3.03    2.53    5.14    0.32
200106   -3.72    0.61    5.42    7.91    0.28
200107   -3.07   -2.26    4.07    2.64    0.30
200108   -2.31    1.93    4.59    8.12    0.31
200109  -10.67   -3.22    1.64    7.71    0.28
200110    2.60    2.02   -3.24   -4.35    0.22
200111    3.10   -0.72   -1.80   -8.89    0.17
200112   -0.48   -2.35    1.01    2.09    0.15
200201   -4.75    2.94    2.01    2.88    0.14
200202    1.18    0.27    2.21    4.23    0.13
200203    5.11   -0.71   -0.16   -3.54    0.13
200204    0.99    1.93    3.45    4.35    0.15
200205    2.15    2.52    4.15    3.33    0.14
200206   -3.40    0.71    2.60    6.59    0.13
200207   -9.22    2.08    2.85    3.36    0.15
200208   -0.17   -1.42    1.54    2.21    0.14
200209  -10.49    2.66    0.02    8.62    0.14
200210    4.02   -5.67   -0.50   -3.14    0.14
200211    4.22   -2.41    0.61   -5.23    0.12
200212   -2.59    3.06    2.26    8.72    0.11
200301   -2.67    2.97    1.77    1.49    0.10
200302   -1.80    1.68    2.97    4.46    0.09
200303   -1.77    0.69    0.18    2.07    0.10
200304    9.31   -1.85   -0.20   -6.70    0.10
200305    6.99    1.89    0.34   -3.40    0.09
200306    2.76    2.37    1.16   -4.70    0.10
200307    2.08    0.83    2.87   -3.93    0.07
200308    3.06    2.86    0.90   -1.80    0.07
200309    4.12    3.40   -0.77    0.31    0.08
200310    5.79    0.52    1.29    4.42    0.07
200311    1.97   -1.98    0.09   -1.59    0.07
200312    6.84   -1.85    1.25    0.40    0.08
200401    2.42    2.99    2.26    3.57    0.07
200402    2.35    0.58    0.56    0.26    0.06
200403    1.25    4.54   -0.61    1.64    0.09
200404   -2.78    0.51   -0.13   -0.97    0.08
200405    0.11   -2.22   -0.07   -2.03    0.06
200406    2.84    2.16    0.41    2.31    0.08
200407   -3.61   -0.30    1.83   -1.53    0.10
200408    0.69   -0.28    1.03    1.83    0.11
200409    2.59   -0.27    0.48    0.87    0.11
200410    3.76   -0.05    0.24    0.11    0.11
200411    6.11    0.51    0.98    0.72    0.15
200412    4.17   -0.28    1.10    0.96    0.16
200501   -1.25    3.96    1.14    1.86    0.16
200502    3.91    0.34    1.44    1.56    0.16
200503   -2.12    0.27    1.44    0.45    0.21
200504   -2.56    0.29    0.26    0.78    0.21
200505   -0.51   -1.87    0.71    0.98    0.24
200506    1.87    0.96    0.72    2.94    0.23
200507    3.14   -0.18    0.89    1.57    0.24
200508    3.19    0.24   -0.38    3.05    0.30
200509    3.48   -1.18    0.21    2.84    0.29
200510   -3.28    0.82    0.84   -0.64    0.27
200511    2.17    0.00   -0.67    1.50    0.31
200512    5.14    2.42   -1.84    2.49    0.32
200601    5.74    0.61    1.46    3.25    0.35
200602   -0.49   -0.91    2.43   -1.23    0.34
200603    3.30    0.70    0.22    2.26    0.37
200604    4.58    0.25    0.02    1.76    0.36
200605   -4.71   -1.46    0.51   -3.14    0.43
200606   -0.77   -2.27   -0.18   -0.59    0.40
200607    0.17   -2.70    2.25    0.52    0.40
200608    2.44   -0.26   -0.31    0.04    0.42
200609   -0.40   -0.92    0.96    0.00    0.41
200610    3.46   -0.63   -0.38    0.92    0.41
200611    2.75    0.11    0.38    1.51    0.42
200612    2.67   -0.39    0.48    2.42    0.40
200701    0.65    1.74    1.01    0.47    0.44
200702    0.55    1.24    0.71    1.60    0.38
200703    2.48    0.08    0.61    1.53    0.43
200704    3.79   -0.14    1.56    1.28    0.44
200705    1.89   -0.62    0.67    1.38    0.41
200706   -0.03    1.23    0.31    0.56    0.40
200707   -1.45    1.74    0.18    2.37    0.40
200708   -2.60   -4.67    0.33   -0.65    0.42
200709    5.27   -2.11   -1.53    4.50    0.32
200710    4.28    0.72   -2.32    2.33    0.32
200711   -4.62   -3.55   -0.33   -0.02    0.34
200712   -2.18   -0.87    1.42    1.14    0.27
200801   -8.76   -0.73    1.14   -2.04    0.21
200802    2.07    2.46   -1.42    2.65    0.13
200803   -1.52   -1.55    3.07    0.52    0.17
200804    5.18   -3.10   -0.91   -1.34    0.18
200805    1.79    1.26   -1.34    2.60    0.18
200806   -7.90    1.75   -0.28    7.83    0.17
200807   -4.03   -2.11    2.47   -2.06    0.15
200808   -4.38   -1.59    0.19   -1.99    0.13
200809  -14.58   -1.28    2.27    1.58    0.15
200810  -21.14   -1.79    0.96    8.57    0.08
200811   -5.39    1.14   -1.71    3.93    0.03
200812    6.63    0.60    0.87   -1.38    0.00
200901   -9.05    4.54   -2.71    0.89    0.00
200902  -10.02    1.77   -4.01    1.83    0.01
200903    6.11   -2.17    0.42   -9.29    0.02
200904   12.46   -1.46    2.74  -22.48    0.01
200905   13.70    3.01   -1.78   -9.25    0.00
