This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
197005,  -8.32, -10.08, -12.45,  -5.92,  -5.78,  -8.22
197006,  -5.82,  -7.10,  -9.32,  -5.26,  -3.93,  -7.45
197007,   6.81,   6.35,   6.69,   9.45,   6.72,   5.61
197008,   5.94,   6.40,   6.54,   5.04,   3.59,   5.51
197009,   9.64,   9.67,  16.32,   1.89,   3.23,   7.27
197010,  -4.75,  -5.40,  -7.78,  -1.12,  -1.14,  -2.80
197011,   1.75,   2.58,  -0.22,   5.23,   4.82,   4.86
197012,   8.46,   8.94,   8.37,   5.24,   6.31,   4.91
197101,  14.32,  10.60,  11.27,   3.14,   3.88,   6.62
197102,   2.63,   2.86,   4.34,   1.23,   0.64,   1.70
197103,   4.97,   5.91,   7.19,   2.99,   3.72,   6.39
197104,   3.81,   4.13,   2.31,   4.25,   2.76,   4.35
197105,  -4.33,  -5.25,  -5.73,  -4.34,  -4.38,  -2.93
197106,  -2.92,   0.13,  -1.09,  -0.71,   0.41,   1.08
197107,  -5.20,  -4.26,  -7.10,  -4.11,  -3.39,  -5.46
197108,   5.16,   3.99,   3.86,   7.23,   2.74,   3.93
197109,  -2.10,  -0.72,   0.72,  -0.80,  -0.55,  -0.50
197110,  -6.17,  -5.47,  -5.40,  -5.30,  -3.90,  -3.47
197111,  -3.25,  -3.09,  -3.34,  -1.20,  -0.31,   0.32
197112,  12.05,  10.38,  13.00,   7.01,   8.59,   9.73
197201,   9.77,   7.20,   8.72,   2.94,   0.89,   3.45
197202,   3.80,   2.49,   3.48,   1.43,   2.49,   3.41
197203,  -0.38,  -0.15,   0.88,   1.91,   0.31,   1.04
197204,   0.82,   0.57,   0.34,  -1.34,   0.55,   0.97
197205,  -1.92,  -2.19,  -2.03,  -1.74,   1.57,   2.73
197206,  -2.69,  -3.13,  -3.65,  -3.22,  -2.16,  -1.49
197207,  -3.56,  -2.66,  -4.36,  -2.32,   0.18,  -0.14
197208,   1.64,   1.43,  -0.26,   6.03,   3.53,   2.17
197209,  -3.93,  -2.69,  -3.02,  -3.64,  -0.13,  -0.58
197210,  -1.53,  -0.19,  -2.79,  -0.22,   0.91,   1.34
197211,   5.84,   5.71,   3.73,   7.67,   4.46,   3.20
197212,  -1.87,  -1.22,  -1.46,  -2.52,   1.66,   1.53
197301,  -4.61,  -5.19,  -6.57,  -4.29,  -1.00,  -4.10
197302,  -8.11,  -7.42,  -9.81,  -5.75,  -4.15,  -3.84
197303,  -1.52,  -3.49,  -3.48,  -1.73,  -0.02,  -1.17
197304,  -6.14,  -5.39,  -9.61,  -4.14,  -3.77,  -5.94
197305,  -9.13,  -7.73,  -8.56,  -4.68,  -1.87,  -1.56
197306,  -3.03,  -3.02,  -5.46,  -3.10,  -0.48,  -1.06
197307,   9.93,  10.41,  15.45,   5.87,   3.08,   7.35
197308,  -4.69,  -4.57,  -4.72,  -2.11,  -3.75,  -3.95
197309,   9.62,   8.63,  10.48,   8.70,   4.14,   4.14
197310,   1.11,   0.03,  -1.99,   1.34,  -0.57,  -0.74
197311, -18.34, -18.06, -21.05, -14.47, -10.81, -13.76
197312,  -1.79,  -3.11,  -2.16,   4.19,   1.36,  -0.13
197401,  14.32,  10.04,   7.78,   0.87,  -0.74,  -1.40
197402,   1.47,   0.73,  -0.80,   1.70,  -1.02,  -0.65
197403,  -0.52,   0.02,  -0.99,  -2.46,  -2.49,  -2.74
197404,  -3.83,  -5.44,  -6.42,  -3.56,  -4.77,  -4.49
197405,  -7.28,  -7.26,  -8.38,  -4.55,  -4.05,  -2.50
197406,  -1.23,  -1.74,  -4.02,  -1.17,  -1.44,  -4.59
197407,  -3.71,  -4.00,  -6.23,  -3.86,  -7.77, -10.23
197408,  -6.69,  -8.66,  -9.66,  -9.12,  -8.97, -10.64
197409,  -6.86,  -7.64, -11.94,  -8.26, -10.72, -14.74
197410,   8.62,   8.98,  10.55,  17.94,  15.24,  22.23
197411,  -3.78,  -5.00,  -6.82,  -2.34,  -5.29,  -4.45
197412,  -6.53,  -5.99,  -8.91,  -1.70,  -1.51,  -5.48
197501,  26.56,  25.54,  28.21,  13.25,  12.42,  13.58
197502,   4.00,   3.33,   4.57,   2.47,   5.63,   6.79
197503,   5.71,   6.27,   9.00,   4.71,   1.33,   4.14
197504,   3.70,   4.01,   4.29,   4.66,   3.45,   6.95
197505,   6.40,   7.12,   8.69,   4.87,   5.13,   4.31
197506,   6.65,   7.17,   6.27,   5.67,   5.01,   4.10
197507,  -2.54,  -2.46,  -3.20,  -4.90,  -7.34,  -6.63
197508,  -5.81,  -4.83,  -5.52,  -4.47,  -2.29,  -2.60
197509,  -3.78,  -4.32,  -3.70,  -3.96,  -3.07,  -4.72
197510,   2.59,   2.01,   2.00,   8.09,   7.20,   4.23
197511,   2.21,   2.53,   1.71,   3.52,   3.67,   0.99
197512,  -1.08,  -0.63,  -2.01,  -1.20,  -1.54,  -1.21
197601,  20.52,  18.24,  18.77,  14.05,  11.92,  11.14
197602,  10.11,   7.64,   7.60,   2.81,  -0.75,  -2.09
197603,   2.08,   1.30,   0.50,   3.05,   2.48,   2.66
197604,  -1.55,  -1.07,  -1.11,  -2.13,  -1.74,  -0.26
197605,  -3.12,  -2.39,  -1.96,  -2.22,  -2.36,  -0.23
197606,   3.63,   3.43,   3.82,   5.84,   4.57,   4.02
197607,   0.01,   0.70,  -0.57,  -1.11,  -0.52,  -1.00
197608,  -2.68,  -1.71,  -2.91,  -2.35,   0.16,  -0.90
197609,   1.26,   2.75,   2.98,   2.13,   1.94,   2.82
197610,  -2.30,  -2.19,  -2.25,  -3.30,  -1.87,  -2.53
197611,   2.54,   3.08,   3.55,   0.24,   0.15,  -0.87
197612,  10.39,   9.26,   8.79,   7.40,   5.76,   4.68
197701,   2.75,   1.71,   1.62,  -3.32,  -3.67,  -5.79
197702,  -1.42,  -0.41,  -1.48,  -2.82,  -2.41,  -2.38
