This file was created using the 201509 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
                     Small                                 2                                  3                                  4                                Big
          Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High
199207  -3.93  -7.55  -3.38  -6.55  -6.60  -4.78  -5.70  -3.27  -6.06  -6.60  -4.00  -5.62  -5.48  -5.39  -7.83  -4.09  -3.21  -6.34  -4.87  -7.38  -3.93  -2.74  -3.36  -3.55  -3.92
199208  -2.81  -1.45  -1.33  -2.26  -2.24  -1.42  -0.89  -2.19  -1.31  -2.95  -2.63  -2.07  -3.79  -2.82  -2.46  -1.98  -1.71  -1.44   0.17  -1.22   0.04   0.12   0.13  -0.10  -0.33
199209  -6.18  -6.89  -6.58  -8.40  -8.20  -5.27  -4.96  -7.12  -7.83  -8.07  -4.63  -3.99  -5.49  -5.48  -8.61  -4.19  -2.47  -5.19  -7.71  -5.45  -0.18  -3.22  -1.62   0.10  -3.39
199210 -11.24 -12.71  -9.61 -11.80  -9.86  -8.86  -9.06  -9.12  -8.11  -5.29  -8.69 -10.26  -8.56  -8.06  -5.48  -5.50  -7.41  -9.09  -3.26  -6.67  -6.53  -7.67  -8.56  -6.93  -5.39
199211  -4.09  -1.12  -3.43  -2.15  -3.38  -1.29  -2.59  -5.22  -4.03  -0.52  -1.90  -2.36  -1.57  -4.38  -1.44  -2.59  -0.38  -0.44  -1.77  -0.71   0.22   0.25   1.79  -0.93   0.21
199212   2.10   2.06   1.86   0.62  -0.42   4.15   3.80  -0.17   1.22  -1.03   2.19   4.28   0.59   2.27  -0.22  -0.90   0.66   2.50  -0.50   2.44   0.85   1.59   1.33   3.16   0.93
199301   2.10   3.67   4.47   4.41   4.94   4.96   5.79   4.03   5.28   4.87   3.15   3.90   4.47   2.02   3.40   0.74   2.98   3.86   2.99  12.14  -2.86  -0.97  -0.19   1.03   5.54
199302   0.66   1.81   0.85  -0.59   1.41  -0.02  -0.51   0.99   0.15   1.12   0.77  -0.41   1.17  -0.15   1.68  -0.42   1.78   0.87   0.44   1.64   0.30  -0.13   2.90   3.32   3.15
199303   5.50   8.94   6.72   6.72   8.11   8.09   6.40   6.34   6.51   7.25   6.53   7.26   5.65   5.35   8.21   8.12   6.29   6.05   4.79   8.27   5.22   5.90   6.29   4.96   5.75
199304   4.93   5.79   6.31   5.45   7.25   3.88   3.77   5.66   4.43   9.42   2.70   4.82   4.64   5.60   9.02   2.30   3.28   3.59   4.92   5.41   0.76  -0.05   1.96   1.17   3.89
