
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198004  15.31   1.74  18.74   1.74  18.49 -99.99 -99.99   2.30  20.24   4.38
198005  12.76   0.25  15.80   0.25  15.63 -99.99 -99.99   2.52  16.89  -0.33
198006  -1.28  -3.94  -1.81  -3.94  -1.64 -99.99 -99.99   1.76  -1.52  -3.35
198007  -3.69  -0.88  -4.04  -0.88  -4.35 -99.99 -99.99  -0.89  -4.04  -7.20
198008  -4.32  -0.57  -5.67  -0.57  -5.51 -99.99 -99.99   1.82  -6.12  -2.79
198009  10.60   1.28  13.64   1.28  13.06 -99.99 -99.99  -0.02  14.73  -1.10
198010  -2.93  -8.89  -2.69  -8.89  -3.17 -99.99 -99.99  -3.44  -2.45  -4.47
198011  -3.98   4.45  -5.18   4.45  -5.08 -99.99 -99.99   0.59  -5.77   6.03
198012  -8.16  -3.70  -9.34  -3.70  -9.34 -99.99 -99.99  -4.09 -10.18   4.07
198101  -5.88   0.36  -7.77  -0.31  -7.46 -99.99 -99.99  -0.25  -8.58 -99.99
198102  -4.88  10.72  -7.96   7.90  -7.10 -99.99 -99.99   3.75  -8.84 -99.99
198103  -3.88   0.14  -3.35   0.33  -4.40 -99.99 -99.99  -5.39  -4.24 -99.99
198104  -4.35   9.35  -5.05 -12.66  -5.53 -99.99 -99.99   1.91  -6.03 -99.99
198105 -13.80 -15.70 -15.35 -12.81 -14.26 -99.99 -99.99  -9.17 -15.93 -99.99
198106  -2.47   1.35  -2.62   2.12  -2.52 -99.99 -99.99  -1.36  -2.51 -99.99
198107  13.16   3.50  16.32   4.49  14.89 -99.99 -99.99   3.37  16.55 -99.99
198108   2.63   6.81   2.97  -3.00   2.91 -99.99 -99.99   3.82   2.66 -99.99
198109  -7.04   3.42  -9.28 -11.56  -8.17 -99.99 -99.99   2.73 -10.17 -99.99
198110   9.54   5.20   9.58   5.87  10.11 -99.99 -99.99  10.39   9.63 -99.99
198111   4.73  10.75   6.47 -15.89   6.05 -99.99 -99.99   5.50   6.02 -99.99
