This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and OP.

The portfolios are constructed at the end of June.  OP is operating profits (sales - cost
of goods sold - selling, general and administrative expenses - interest expense) divided by book
at the last fiscal year end of the prior calendar year.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
197005, -10.97, -10.05, -10.36,  -4.83,  -5.48,  -7.80
197006,  -8.19,  -7.30,  -7.07,  -4.36,  -5.00,  -5.46
197007,   5.15,   6.43,   8.46,   8.07,   9.39,   4.77
197008,   5.87,   6.12,   6.71,   4.30,   3.63,   4.92
197009,  13.80,  10.97,  13.17,   3.76,   1.97,   5.20
197010,  -8.43,  -5.10,  -5.46,  -2.23,  -1.55,  -1.12
197011,  -0.90,   1.62,   2.11,   4.51,   5.20,   4.87
197012,   8.32,   8.71,   8.87,   5.93,   5.86,   5.66
197101,  13.94,  11.70,  10.44,   4.21,   4.45,   3.92
197102,   3.63,   3.05,   4.31,   1.15,   0.33,   1.56
197103,   5.24,   5.42,   7.75,   3.46,   3.25,   5.03
197104,   4.48,   3.19,   2.69,   4.53,   2.77,   3.65
197105,  -5.43,  -5.39,  -4.29,  -5.53,  -3.52,  -3.99
197106,  -2.55,  -1.65,   0.49,  -0.35,   1.14,  -0.34
197107,  -6.53,  -5.04,  -5.85,  -4.67,  -3.92,  -4.26
197108,   4.77,   3.92,   4.62,   4.58,   2.91,   4.32
197109,  -2.36,  -0.18,   0.68,  -1.87,  -0.91,   0.16
197110,  -7.20,  -4.24,  -5.71,  -4.83,  -4.26,  -3.33
197111,  -4.21,  -2.83,  -2.80,  -2.21,  -0.73,   0.96
197112,  12.18,  11.61,  12.32,  10.19,   7.84,   9.22
197201,  11.99,   6.80,   7.59,   2.56,   0.29,   3.46
197202,   3.57,   2.43,   4.57,   1.02,   1.50,   4.28
197203,   0.10,  -0.25,   0.56,  -0.93,   0.43,   1.62
197204,   0.51,   0.69,   0.38,   1.56,  -0.35,   0.83
197205,  -2.99,  -1.80,  -1.41,  -0.34,   0.29,   3.21
197206,  -3.08,  -3.54,  -3.10,  -4.25,  -2.93,  -0.72
197207,  -2.93,  -2.92,  -5.04,  -3.34,  -0.91,   0.97
197208,   1.11,   1.23,   0.13,   5.33,   4.33,   2.17
197209,  -4.41,  -2.99,  -2.61,  -1.97,  -0.39,  -0.50
197210,  -1.99,  -0.91,  -1.77,   0.68,   1.94,   0.52
197211,   5.12,   5.18,   5.26,   7.13,   5.70,   2.98
197212,  -2.41,  -0.92,  -1.57,  -1.85,   0.48,   2.30
197301,  -4.91,  -5.39,  -5.78,  -3.60,  -3.29,  -1.54
197302,  -7.43,  -7.73, -10.50,  -5.50,  -5.20,  -3.40
197303,  -2.20,  -2.94,  -3.60,   0.12,  -0.85,  -0.49
197304,  -6.09,  -5.98,  -9.26,  -5.12,  -2.92,  -5.30
197305,  -9.12,  -7.85,  -8.47,  -4.91,  -1.82,  -1.53
197306,  -3.05,  -3.38,  -5.22,  -1.86,  -1.71,  -0.31
197307,  13.19,   9.24,  16.00,   7.12,   4.50,   4.43
197308,  -4.15,  -4.84,  -5.05,  -2.07,  -3.41,  -3.94
197309,   9.17,   9.34,  10.07,   7.57,   7.85,   2.31
197310,   1.36,  -0.22,  -2.66,  -0.23,  -0.91,  -0.02
197311, -17.84, -18.31, -22.44, -10.95, -12.90, -11.97
197312,  -1.61,  -2.67,  -2.85,   4.06,   3.54,  -0.63
197401,  12.06,   9.66,   8.85,   0.96,  -0.14,  -1.66
197402,   1.29,  -0.06,  -0.02,   0.69,   1.15,  -1.90
197403,  -0.83,  -0.73,   0.26,  -6.21,  -2.91,  -1.30
197404,  -6.53,  -5.27,  -4.88,  -7.53,  -5.04,  -3.46
197405,  -8.50,  -7.77,  -6.72, -10.27,  -4.19,  -1.84
197406,  -2.86,  -2.26,  -2.96,  -3.35,  -2.52,  -1.68
197407,  -3.91,  -4.37,  -5.99,  -4.81,  -7.49,  -9.05
197408,  -8.23,  -8.88,  -8.63,  -9.64,  -9.43,  -9.32
197409,  -8.33,  -8.00, -10.69,  -8.15,  -8.88, -14.29
197410,   9.52,   8.64,   9.86,  17.22,  17.62,  17.17
197411,  -4.28,  -5.28,  -6.48,  -1.21,  -4.36,  -5.83
197412,  -7.09,  -6.36,  -8.04,  -3.71,  -0.85,  -3.67
197501,  27.21,  25.47,  27.42,  14.62,  12.28,  12.69
