This file was created by CMPT_ME_BEME_OP_INV_RETS_DAILY using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
19631023,  -0.15,  -0.12,   0.16,   0.14,   0.02,   0.07
19631024,   0.34,   0.46,   0.40,   0.52,   0.20,   0.70
19631025,   0.48,   0.12,   0.63,   0.38,   0.70,   2.12
19631028,  -0.52,   0.01,  -0.49,   0.20,   0.49,   0.95
19631029,  -0.01,  -0.22,  -0.62,   0.25,  -0.20,   0.26
19631030,  -0.31,  -0.36,  -0.65,  -0.60,  -0.70,  -1.29
19631031,   0.30,   0.00,   0.18,  -0.20,   0.24,   0.55
19631101,   0.21,   0.27,  -0.20,  -0.41,  -0.08,  -0.38
19631104,  -0.40,   0.13,  -0.63,  -0.35,  -0.16,  -1.07
19631106,  -0.42,  -0.49,  -0.82,  -0.34,  -0.84,  -0.98
19631107,   0.42,   0.27,   0.41,  -0.04,   0.43,   0.44
19631108,   0.40,   0.66,   0.87,   0.63,   0.61,   0.48
19631111,   0.37,   0.42,   0.45,   0.19,   0.16,   0.26
19631112,  -0.37,  -0.45,   0.02,  -0.37,  -0.41,  -0.41
19631113,   0.06,  -0.04,   0.25,   0.01,   0.15,   0.03
19631114,  -0.19,  -0.32,  -0.44,  -0.12,  -0.46,  -0.59
19631115,  -0.27,  -0.32,  -0.74,  -0.44,  -0.74,  -1.19
19631118,  -0.75,  -0.66,  -0.67,  -0.56,  -0.87,  -0.56
19631119,  -0.13,  -0.25,  -0.14,   0.27,   0.11,   0.09
19631120,   0.08,  -0.52,  -0.48,   0.59,   1.45,   0.09
19631121,  -1.35,  -1.07,  -1.72,  -1.29,  -1.06,  -1.72
19631122,  -3.52,  -2.58,  -4.53,  -2.96,  -2.83,  -2.97
19631126,   3.16,   2.18,   4.04,   4.66,   3.75,   4.58
19631127,   0.33,   0.05,   0.19,  -0.21,  -0.30,   0.08
19631129,   1.78,   1.65,   1.86,   1.08,   1.43,   1.37
19631202,  -0.01,   0.23,   0.37,   0.41,   0.60,   0.74
19631203,  -0.24,  -0.23,  -0.12,   0.29,  -0.05,  -0.23
19631204,   0.65,   0.14,   0.42,   0.32,   0.28,   0.20
19631205,  -0.09,  -0.01,  -0.02,   1.10,   0.67,   0.35
