This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and OP.

The portfolios are constructed at the end of June.  OP is operating profits (sales - cost
of goods sold - selling, general and administrative expenses - interest expense) divided by book
at the last fiscal year end of the prior calendar year.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
197610,  -2.58,  -1.41,  -2.37,  -1.94,  -1.50,  -2.60
197611,   3.98,   2.99,   3.75,   2.02,   0.58,  -0.19
197612,  10.51,   9.32,   9.66,   5.67,   5.60,   5.65
197701,   2.57,   2.58,   1.67,  -4.81,  -3.66,  -4.81
197702,  -0.67,  -0.56,  -0.89,  -1.71,  -1.77,  -1.80
197703,   0.11,   0.52,   0.48,  -0.30,  -1.28,  -1.41
197704,   1.75,   1.76,   1.20,   2.83,   0.48,  -0.64
197705,  -0.22,   0.38,   0.19,  -1.90,  -0.28,  -1.57
197706,   7.08,   5.91,   7.36,   4.05,   4.27,   5.69
197707,  -0.61,   0.69,   0.21,  -1.75,  -1.36,  -1.40
197708,  -1.26,  -0.59,  -0.02,  -2.11,  -0.89,  -1.46
197709,   0.75,   0.99,   2.05,  -0.92,   0.30,   0.04
197710,  -2.85,  -1.39,  -3.21,  -3.76,  -4.79,  -3.57
197711,   7.41,   7.63,   8.48,   4.78,   4.25,   3.53
197712,   1.93,   1.72,   2.68,  -0.48,   0.57,   0.89
197801,  -1.84,  -2.52,  -4.28,  -5.37,  -5.66,  -6.26
197802,   1.89,   2.03,   2.74,  -1.43,  -0.92,  -1.75
197803,   7.22,   6.18,   7.11,   3.01,   3.62,   2.22
197804,   7.13,   7.37,   9.62,   7.29,   7.82,   9.80
197805,   6.77,   5.05,   7.56,   1.51,   1.98,   1.44
197806,   1.41,   0.02,  -0.59,  -1.28,  -0.75,  -2.05
197807,   4.97,   5.21,   7.25,   5.24,   5.43,   5.96
197808,   8.90,   7.64,   9.28,   2.05,   3.54,   4.58
197809,  -0.83,  -0.41,  -1.94,  -0.46,  -0.95,  -0.79
197810, -21.07, -18.07, -21.96, -10.65,  -9.79,  -9.44
197811,   4.90,   5.48,   7.86,   3.45,   3.18,   2.93
