This file was created using the 201509 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
                     Small                                 2                                  3                                  4                                Big
          Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High
199207  -8.70  -8.30  -6.54  -7.45  -7.80  -9.57  -7.93  -8.43  -7.32  -5.86  -7.63  -8.61  -7.20  -5.86  -7.87  -8.75  -7.53  -6.92  -4.92  -7.14   2.73  -0.97  -4.02  -2.83  -3.72
199208  11.76   7.28   8.42   8.97   7.71  11.79   9.10  12.27  10.88   9.13  16.27  14.20  12.77  11.40  12.13  16.20  17.19  14.96  13.29  15.86  25.16  16.80  16.77  13.77  11.81
199209   3.89   2.51   4.48   1.55   1.88  -0.12   1.01   4.22   0.74  -0.25   0.03  -1.31   0.69  -1.02  -3.51  -3.51  -2.40  -1.26  -0.66  -2.93  -3.67  -3.43  -2.27  -3.01  -2.52
199210  -9.13  -5.56  -5.83  -6.29  -8.39  -8.40  -7.56  -6.65  -5.46  -6.29  -6.43  -7.56  -5.42  -5.00  -4.99  -7.72  -7.59  -5.87  -4.97  -4.08  -4.50  -5.57  -5.78  -4.91  -3.54
199211  -1.96  -0.75  -3.39  -3.53  -1.40  -1.17  -2.10  -1.01  -0.59  -1.45   1.86   0.49   1.49  -0.07  -0.27   3.60   4.19   1.52   0.42   1.27   4.30   2.25   1.86   1.49   2.04
199212   0.17   1.47   2.83   4.09   4.74   0.28   1.63  -0.87   1.74   1.60  -0.78  -1.53   0.44   2.79   1.71  -2.69  -3.81  -2.46  -0.72   0.38  -1.60  -1.02  -1.13  -1.83   0.66
199301  -3.63  -2.99  -2.82  -3.92  -2.63  -3.34  -2.75  -1.91  -0.73  -1.09  -0.61  -1.84  -2.94  -1.76  -1.93  -1.23  -0.33  -0.58  -1.24  -2.31   0.19  -1.24  -0.42  -0.20  -0.55
199302   5.72   8.39   6.85   9.30  11.50   6.36   5.07   5.53   4.67   5.47   4.58   6.83   5.11   5.78   4.95   6.00   6.54   3.76   4.17   4.61   3.99   6.74   3.69   3.89   2.10
199303  16.53  15.47  15.69  17.57  15.84  18.17  17.84  14.76  16.36  17.43  14.35  15.31  17.00  16.27  19.90  14.60  15.03  13.67  13.46  17.35  11.85  20.24  14.38  17.63  20.15
199304  17.96  19.85  17.73  17.63  19.88  17.63  16.09  19.33  16.62  20.99  16.45  15.58  16.67  17.85  21.21  13.83  15.28  16.34  16.87  19.99  13.44  16.17  19.29  18.78  19.35
199305  22.40  20.75  21.96  24.51  22.23  13.44  18.83  15.73  16.37  14.31   9.08  11.91  10.52  13.65  11.71   7.57   7.97   7.51   8.01   8.05   6.51   3.28   2.92   1.93  -0.80
199306  -6.20  -7.45  -7.18  -5.25  -6.55  -4.65  -5.15  -6.11  -6.21  -7.90  -6.15  -6.50  -8.57  -5.94  -6.01  -6.34  -5.74  -4.67  -4.61  -3.57  -0.69  -3.12  -4.66  -5.29  -5.48
199307   1.08   0.99   1.55   0.90   0.89   3.72   1.99   4.20   2.90   3.98   2.63   3.91   4.29   3.65   5.38   5.91   4.98   6.04   5.78   4.72   9.02   7.18   7.23   7.50   8.40
199308   0.87   1.13   1.91   2.23   1.11   4.68   3.88   1.46   2.83   0.95   2.32   1.51   2.58   1.76   2.17   2.01   2.59   3.19   1.41   0.77   2.67   1.84   1.71   3.84   3.90
199309  -5.66  -6.76  -1.51  -4.68  -5.81  -3.65  -3.25  -2.99  -4.42  -4.45  -2.45  -2.30  -3.27  -3.35  -5.25  -2.79  -2.01  -4.76  -4.23  -4.39  -4.64  -6.30  -6.56  -4.64  -4.74
199310  -8.70  -9.64  -9.48  -9.71  -9.62  -9.04  -9.98 -11.00  -9.96  -7.74  -8.72  -7.29  -8.68  -7.83  -7.32  -8.53  -7.13  -6.03  -5.36  -5.61  -2.45   0.29  -0.50  -1.44   0.62
199311 -16.23 -14.18 -14.82 -16.39 -14.17 -17.88 -18.28 -18.33 -19.22 -18.10 -17.38 -16.26 -17.77 -17.85 -21.42 -16.97 -15.31 -15.12 -15.93 -18.42 -15.17 -17.14 -14.00 -17.41 -14.28
199312  -0.25  -0.27   0.83   1.43   0.64   1.17   3.33   1.39   4.57   2.73   0.99   2.82   1.74   2.74   3.80   0.54   0.22   2.11   3.29   2.14   0.64   2.27   1.47   3.38   5.71
199401  17.09  15.47  13.85  20.52  18.70  19.17  19.37  20.73  17.69  19.20  18.80  17.18  16.70  15.96  23.02  17.44  13.92  15.29  15.61  18.95  15.22  17.04  15.99  18.55  20.56
199402   4.51   5.05   4.56   5.21   6.25   4.01   3.07   5.08   4.44   7.42   4.35   5.32   3.95   5.28   5.35   3.65   6.44   3.58   5.14   5.69   2.22   2.67   4.11   4.49   6.33
199403   4.04   2.92   6.08   2.44   5.37   2.51   2.30   2.47   5.74   3.02   0.47   0.51   1.92   1.49   4.32  -0.93  -0.77   1.15   1.46   2.23  -3.88  -4.37  -2.66  -1.47  -1.96
199404   7.35  12.10   4.21   7.64   9.18   5.40   5.37   3.83   5.73   5.35   3.18   2.64   3.78   4.43   2.86   2.47   3.01   2.34   4.18   4.17   3.60   3.47   4.28   3.06   2.68
199405   0.86  -1.46   0.56   0.41   2.62  -2.28  -1.20   0.71  -0.09   0.14  -0.22  -1.87   0.83  -0.17   0.98  -0.17   0.36   0.76   0.81   1.91   0.19  -0.27   3.21   4.77   4.53
199406  12.37  11.82  12.13  11.61  16.27   7.85   9.21   7.37  11.62  12.01   5.23   8.26   8.14  10.20  11.50   6.10   4.62   6.88   8.26  10.13   4.13   4.73   6.28   6.21   6.81
199407  -2.47  -2.75  -4.41  -1.93  -4.46  -3.39  -4.82  -2.37  -3.19  -2.43  -2.28  -3.83  -2.97  -4.19  -3.71  -2.54  -3.43  -2.46  -2.15  -4.43  -3.40  -4.22  -4.02  -4.17  -6.63
199408  -3.61  -2.47  -1.62  -2.67  -0.88  -1.36  -2.72  -0.29  -1.31  -3.16  -2.04  -1.47   0.07  -1.54  -0.32  -1.89  -1.43  -0.55  -0.46  -0.48   0.23   1.25   1.00  -1.37   2.20
