This file was created using the 201509 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
 ,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199111   ,3.94  ,-0.48   ,1.10   ,1.44   ,3.73   ,1.04   ,2.74  ,-0.02   ,3.21  ,-0.27   ,3.44   ,4.92  ,-0.36   ,5.41   ,2.23   ,6.26   ,2.01   ,0.88   ,0.36  ,-0.09  ,-0.97  ,-0.09  ,-2.64   ,0.83  ,-2.10
199112  ,-0.83  ,-2.21  ,-0.26  ,-2.30  ,-1.85   ,1.77  ,-0.92  ,-0.48  ,-1.02  ,-2.68   ,2.65   ,1.39  ,-1.29   ,0.43  ,-0.30   ,4.36   ,3.12   ,2.82   ,2.45   ,0.44   ,0.93   ,2.77   ,2.36   ,1.80   ,0.49
199201  ,17.91  ,-2.05   ,1.00   ,0.15   ,1.91   ,2.57   ,1.35   ,2.87  ,-0.23  ,-2.28   ,0.88   ,4.34   ,0.83   ,1.63   ,6.68   ,0.87  ,-0.50   ,0.33   ,2.12   ,3.35   ,0.48   ,1.39   ,1.05   ,0.64   ,4.48
199202   ,8.65   ,1.58   ,3.59   ,5.68   ,3.71  ,-1.35   ,5.72   ,2.00   ,1.80   ,1.50  ,-0.94   ,1.52   ,2.63   ,1.61  ,-1.67   ,0.49   ,0.44  ,-2.26   ,0.89   ,1.02   ,1.80   ,1.03   ,0.94   ,3.58   ,5.26
199203  ,-0.92   ,1.25   ,1.65   ,0.62   ,1.83  ,-2.37  ,-3.66  ,-2.12  ,-6.13  ,-0.78   ,1.51   ,2.46   ,1.25  ,-1.97  ,-0.76   ,0.59  ,-0.70  ,-0.56   ,0.89   ,0.32   ,1.05  ,-0.85   ,0.54   ,0.00   ,0.37
199204  ,-3.13   ,5.07  ,-0.69   ,2.52  ,-2.05  ,-3.23   ,2.43   ,3.62   ,2.70   ,0.81   ,3.12   ,3.58   ,5.49   ,7.93  ,-0.81   ,3.29   ,7.30   ,0.57   ,3.27   ,3.28   ,5.85   ,7.62   ,4.59   ,6.97   ,6.72
199205   ,7.17   ,3.48   ,4.59   ,8.33   ,4.75   ,7.99   ,2.85   ,2.78  ,10.18   ,9.13   ,6.15   ,5.17   ,9.45  ,11.12  ,11.48   ,7.25   ,5.42   ,3.72   ,9.12  ,14.92   ,4.45   ,8.35   ,4.83  ,12.07  ,12.92
199206  ,-3.40   ,0.81   ,0.09  ,-1.22  ,-3.03  ,-1.28  ,-1.81   ,0.27   ,1.93  ,-0.88  ,-3.09   ,0.76  ,-0.58  ,-0.35  ,-0.17   ,2.82   ,1.31   ,1.20  ,-2.04  ,-1.23  ,-2.94  ,-0.40  ,-0.19  ,-2.08  ,-0.37
199207   ,2.49   ,0.71   ,0.11   ,3.11   ,0.55  ,-4.48  ,-4.94   ,0.58  ,-3.81  ,-4.34   ,0.07  ,-1.63  ,-3.67  ,-2.77  ,-3.10  ,-2.08  ,-6.28  ,-1.36  ,-0.99  ,-7.23  ,-2.21  ,-4.32  ,-3.99  ,-6.14  ,-3.69
199208  ,-9.50  ,-3.79  ,-3.61  ,-3.93  ,-4.35  ,-7.65  ,-5.26  ,-7.25  ,-6.56  ,-6.03  ,-3.96  ,-4.15  ,-6.74  ,-5.08  ,-5.44  ,-4.03  ,-7.43  ,-6.67  ,-5.61  ,-7.00  ,-4.77  ,-7.66  ,-7.33  ,-5.67  ,-6.55
199209  ,-1.49  ,-1.06  ,-1.63   ,0.13  ,-0.91  ,-2.09  ,-2.15  ,-3.65  ,-2.31   ,1.86   ,2.24  ,-2.91  ,-2.36  ,-0.18   ,0.61  ,-0.02  ,-3.99  ,-3.36  ,-1.10   ,1.07  ,-3.93  ,-3.32  ,-3.28  ,-1.58  ,-1.02
199210  ,-5.47  ,-1.01  ,-1.87   ,0.51  ,-0.97   ,5.02  ,-2.42   ,1.42   ,3.99   ,2.26   ,9.95   ,2.65   ,1.96   ,1.14   ,1.91   ,3.19   ,0.38  ,-4.74   ,0.98   ,5.95   ,5.03   ,0.25   ,0.13   ,3.58   ,6.18
199211  ,-2.37   ,1.86   ,1.39   ,0.32   ,0.94   ,3.10  ,-0.18   ,0.93  ,-0.43   ,1.56   ,0.14  ,-0.95  ,-0.29   ,2.31   ,0.87   ,2.19   ,1.69  ,-2.04  ,-0.58  ,-0.25  ,-0.86  ,-3.36  ,-0.86  ,-7.14   ,0.39
199212   ,4.91   ,2.58   ,3.37   ,5.01   ,1.89   ,4.23   ,1.49   ,0.84   ,3.04  ,-0.44   ,0.13   ,1.81   ,3.44   ,0.78  ,-2.05   ,1.06   ,1.42   ,1.92   ,1.98  ,-4.50   ,4.35   ,1.01   ,3.61  ,-2.99  ,-2.96
199301   ,7.19   ,1.80   ,1.82   ,2.35   ,2.26   ,1.59   ,3.75   ,1.46   ,0.44   ,2.87   ,0.79   ,0.74   ,1.25   ,1.25   ,1.45   ,1.78   ,2.11   ,1.79   ,2.44   ,4.03   ,2.22  ,-0.51  ,-1.08   ,0.79   ,1.29
199302   ,5.94   ,5.49   ,6.88   ,8.73   ,9.27   ,4.35   ,8.60   ,7.91   ,7.46   ,6.61  ,11.17   ,6.87   ,8.32   ,5.27   ,6.76   ,7.04   ,3.83   ,3.39   ,9.99   ,5.12   ,7.33   ,8.08   ,8.65  ,12.81   ,9.64
199303  ,11.67   ,4.90   ,5.34  ,10.49   ,8.11   ,6.06   ,7.07   ,3.72   ,7.92   ,4.83  ,17.02  ,-0.62   ,8.76   ,3.55   ,4.07   ,4.92   ,3.12   ,7.66   ,6.34   ,3.49   ,3.22   ,1.48   ,2.98   ,0.41  ,-1.38
199304  ,19.58   ,7.85   ,6.32   ,9.41   ,7.98  ,12.70   ,7.39   ,9.49  ,17.35   ,7.24   ,3.43   ,4.12  ,11.01  ,12.83   ,6.16   ,7.91   ,7.61   ,4.09   ,7.90   ,9.70   ,3.21   ,4.45   ,5.19   ,7.36   ,7.09
