This file was created using the 201509 Bloomberg database.

Missing data are indicated by -99.99.



        Mkt-RF     SMB     HML     WML      RF
200012   -9.85   -1.24    7.62    2.17    0.50
200101   -0.84    1.03   -5.27   -5.38    0.54
200102   -5.54    4.77    6.14    1.71    0.38
200103   -4.29    0.64    0.51   -0.23    0.42
200104    8.69    0.17    4.64    1.67    0.39
200105   -0.15    2.83   -0.83    1.84    0.32
200106   -5.30    1.24    6.29    6.43    0.28
200107   -8.93   -1.59    6.36    5.53    0.30
200108   -2.70    1.65    8.33    6.84    0.31
200109   -7.67   -1.20   -0.20    1.49    0.28
200110    0.77    3.05   -4.62   -2.53    0.22
200111   -1.80   -3.52   -3.35   -5.67    0.17
200112   -8.24   -3.72    1.75    4.20    0.15
200201   -7.85    1.79    1.71   -1.43    0.14
200202    5.13    0.46    3.23   -3.54    0.13
200203    5.60    0.37   -5.89   -9.61    0.13
200204    5.22    1.48   -1.31    0.54    0.15
200205    7.12    1.49    2.86   -4.41    0.14
200206   -4.80    1.38    1.60    4.20    0.13
200207   -6.07    3.71    3.08    1.39    0.15
200208   -1.40   -1.14    1.56    0.32    0.14
200209   -4.88   -0.16    4.51   -1.26    0.14
200210   -6.74   -3.15    2.06    4.67    0.14
200211    3.06   -5.78   -1.14   -0.37    0.12
200212   -2.40    2.02    1.68    4.05    0.11
200301   -3.48    3.73    1.53   -0.19    0.10
200302    1.46    2.72    5.12    0.98    0.09
200303   -2.94    2.94    2.15    2.34    0.10
200304    0.98    2.98    0.84    3.19    0.10
200305    4.54    1.87   -1.94   -5.96    0.09
200306    7.12    0.30    1.59   -9.77    0.10
200307    3.42   -1.36   -0.39   -2.36    0.07
200308    9.76   -1.73    2.35   -1.19    0.07
200309    7.38    3.12   -1.98   -1.59    0.08
200310    3.94    4.22   -2.73    2.18    0.07
200311   -3.75   -3.16   -0.13   -5.56    0.07
200312    6.49   -1.87    2.68    2.64    0.08
200401    1.96    4.50    0.26    3.01    0.07
200402   -0.06   -0.86    2.31   -0.88    0.06
200403   14.85    7.18    3.16   10.96    0.09
200404   -4.62    7.28   -4.17    3.12    0.08
200405   -3.22   -3.09    0.82   -5.34    0.06
200406    5.25    5.73   -1.76    2.83    0.08
200407   -6.59   -1.11    4.12   -4.78    0.10
200408    1.01    0.39   -1.13    2.55    0.11
200409   -3.07   -1.01    2.75   -2.26    0.11
200410    2.41   -0.33    0.48   -1.23    0.11
200411    3.77   -1.01    0.29   -0.35    0.15
200412    4.93   -1.15    1.43    0.47    0.16
200501   -1.23    6.50    0.47    2.61    0.16
200502    1.79    1.62    2.12    0.47    0.16
