This file was created by CMPT_ME_BEME_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 BE/ME portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
               Small                 Big         
          Low     2    High    Low     2    High 
193901  -8.24  -9.11 -10.18  -5.36  -6.25 -11.11
193902   3.71   4.88   6.19   2.94   2.66   6.79
193903 -18.25 -18.78 -22.90 -10.36 -13.92 -21.54
193904  -0.86  -0.06   1.82  -0.28  -0.17  -3.23
193905  11.20   8.70   9.72   6.47   4.96   9.15
193906  -7.46  -8.26 -10.78  -4.97  -6.93 -11.60
193907  16.03  16.52  13.57  11.17   8.30  13.43
193908 -12.55 -12.30 -12.64  -6.84  -6.31 -11.11
193909  37.17  38.88  54.79  13.20  16.29  40.46
193910   0.36  -0.82  -5.07  -0.09  -0.91  -4.47
193911  -8.05  -9.94 -14.01  -3.78  -4.20 -10.71
193912   4.76   2.08  -0.21   3.02   1.51   0.77
194001  -4.39  -2.29  -2.86  -2.27  -2.63  -5.39
194002   3.91   3.96   2.93   0.69   0.91   1.10
194003   4.21   2.53   2.11   2.01   0.93   2.17
194004   4.64   2.98   3.86  -0.30  -0.03   0.02
194005 -28.02 -27.85 -32.52 -22.71 -21.35 -25.50
194006   3.78   4.34   7.45   4.48   7.45  10.51
194007   4.40   4.25   3.21   3.28   2.85   2.80
194008   1.64   2.85   1.58   1.58   1.03   2.66
194009   4.65   3.94   5.06   2.56   0.79   0.98
194010   4.03   5.20   6.19   0.77   6.08   7.92
194011   0.42   0.00  -0.53  -2.89  -2.46  -1.94
194012  -2.49  -2.70  -3.01  -0.16   0.33  -0.47
194101  -4.87  -3.07  -0.49  -5.15  -4.01  -1.79
194102  -3.88  -2.16  -3.32  -2.14  -2.21  -0.99
194103  -0.24   0.41   3.53  -0.11   0.74   2.97
194104  -7.94  -5.99  -5.41  -6.67  -4.70  -2.18
194105   1.10   0.24   1.14   0.25   1.49   2.04
194106   3.31   5.36   7.94   5.44   5.09   1.94
194107  10.23   9.56  18.30   3.58   7.91   9.73
194108  -1.72  -2.27  -0.75   0.04  -1.52  -3.30
194109  -3.90  -2.47  -2.19  -0.62  -2.66  -1.80
194110  -6.12  -6.91  -6.27  -6.31  -3.51  -2.95
194111  -2.22  -4.93  -3.88  -3.28  -2.19  -3.38
194112  -8.05  -9.73 -13.91  -5.66  -4.61 -10.12
194201   6.63   9.96  14.02  -1.92   0.31  10.38
194202  -0.27  -1.46  -2.16  -2.85  -3.47  -3.11
194203  -5.65  -4.46  -6.19  -6.59  -8.09  -6.59
194204  -6.35  -4.43  -3.87  -4.78  -4.68  -3.38
194205  -0.60   1.66   0.98   6.86   3.83  -0.12
194206  -0.22   0.62   1.81   2.28   1.94   1.91
194207   5.05   3.33   4.89   2.53   3.97   6.92
194208   0.89   2.19   2.22   1.14   1.07   3.16
194209   1.63   1.98   5.50   1.97   2.25   3.26
194210   8.08   7.43  14.17   5.14   7.72  11.59
194211  -2.29  -3.20  -5.67   0.28  -0.97  -6.14
194212   0.89   2.45   1.62   4.10   4.92   5.06
194301  11.36  13.54  23.63   5.25   7.86   9.24
194302   9.97   8.87  16.95   4.36   6.46  10.58
194303  10.24  10.72  14.62   3.59   6.66  10.68
194304  -1.03   2.33   7.96  -0.24   1.11   2.25
194305   7.86   8.67  13.08   4.57   4.99   6.68
194306  -0.79   0.09   0.17   1.66   1.50  -0.74
194307  -5.44  -7.11  -9.24  -4.89  -3.80  -5.66
194308  -0.27  -0.29   0.54   1.14   0.66  -0.37
194309   2.28   2.33   5.06   1.71   2.18   2.16
194310  -0.88  -0.60   0.59  -1.54  -1.05   0.21
194311  -7.96  -8.74 -11.47  -5.40  -7.57 -11.06
194312   6.37   9.45  11.36   4.95   6.07   6.63
194401   4.73   4.41   5.15   0.73   1.45   4.54
194402   0.69   0.51   0.46  -0.37   0.15   1.92
194403   1.41   3.12   7.28   1.72   2.08   2.95
194404  -2.11  -3.14  -4.28  -1.51  -2.03  -1.63
194405   5.04   6.83   6.69   4.01   4.30   4.67
194406   8.81   8.94  10.21   4.45   4.60   6.62
194407  -0.02  -1.20  -1.63  -1.78  -1.60  -1.08
194408   4.52   3.66   1.57   0.90   0.63   0.58
194409   1.16  -0.55  -0.53  -0.13  -0.58  -0.59
194410  -0.14   0.25  -0.77  -0.16   0.72  -0.35
194411   0.62   2.06   3.05   0.59   0.97   1.50
194412   5.39   6.11   9.79   1.87   4.02   9.28
194501   5.07   4.95   3.97   0.68   2.90   3.17
194502   6.25   8.38  10.24   4.75   5.69   9.42
194503  -4.63  -6.76  -6.71  -3.67  -4.75  -4.97
194504   7.33   8.91   9.69   6.66   7.91  10.68
194505   2.31   1.67   3.69   1.58   0.25   0.58
194506   2.55   2.09   6.60  -1.65   0.43   3.23
194507  -3.29  -3.74  -5.57  -1.51  -1.94  -4.68
194508   7.41   7.42   4.62   8.12   4.06   2.00
194509   6.30   6.37   6.03   4.27   3.87   5.62
194510   5.87   6.50   7.26   2.27   4.92   5.25
194511   8.93   9.20  11.06   2.34   5.06   8.18
194512   3.66   2.67   1.21   1.43   0.59  -0.57
194601   9.46   8.67  12.22   6.01   4.83   7.60
194602  -6.48  -7.14  -7.48  -6.28  -5.22  -7.72
194603   6.19   5.67   5.40   4.94   6.53   4.76
194604   4.28   7.76   6.29   3.64   5.09   2.47
194605   6.39   4.69   5.52   2.83   3.12   5.85
194606  -4.80  -5.47  -6.26  -4.66  -3.05  -4.30
194607  -4.90  -4.07  -5.11  -2.88  -2.49  -2.57
194608  -8.78  -8.50  -7.63  -6.76  -6.45  -6.89
194609 -14.27 -13.94 -16.22  -9.98  -8.98 -11.98
194610  -3.44  -1.38   0.62  -2.67  -1.90   0.26
194611  -2.13  -1.35   0.70  -1.03   0.19  -1.21
194612   4.83   3.82   2.88   4.92   4.17   3.63
194701   4.28   2.12   2.95   1.95  -0.60   1.83
194702  -1.64  -1.00   0.45  -0.55  -1.65  -2.54
194703  -3.71  -3.86  -2.99  -2.03  -1.63  -1.79
194704  -9.58  -8.23  -8.32  -5.36  -3.80  -4.84
194705  -5.69  -4.46  -4.19  -1.76  -0.47  -3.10
194706   3.83   4.66   4.28   6.16   3.90   4.29
194707   5.10   5.99   6.92   3.34   3.26   7.13
194708  -2.47  -2.10  -1.55  -2.39  -1.87  -3.05
194709  -0.27  -0.23   1.88  -1.11  -1.26  -0.42
194710   3.33   2.96   2.69   2.05   2.83   2.75
194711  -5.25  -4.31  -3.29  -2.87  -2.51  -3.10
194712  -0.78   0.18   1.65   1.42   2.56   5.93
194801  -1.92  -2.80  -0.38  -4.69  -4.16  -3.64
194802  -6.51  -6.94  -6.26  -5.33  -4.16  -5.44
194803   5.73   7.70  11.40   7.35   7.03  10.44
194804   1.09   2.50   4.49   2.11   4.13   6.86
194805   8.72   8.14   7.16   7.91   5.99   6.90
194806  -3.46  -2.19  -0.27  -1.03  -0.38   1.37
194807  -5.32  -5.55  -5.67  -5.14  -5.41  -4.57
194808  -1.81  -1.09  -0.75   0.19  -0.76  -0.34
194809  -3.72  -4.77  -6.15  -3.17  -3.08  -4.19
194810   3.59   4.24   5.12   6.24   5.52   5.86
194811 -10.59 -10.56 -13.73  -9.61  -9.57 -14.44
194812   0.10  -1.40  -1.26   4.13   1.92   1.42
194901   0.94   1.51   2.40   0.42  -1.25   1.01
194902  -5.99  -4.59  -6.14  -3.38  -3.23  -4.95
194903   5.59   4.87   7.42   3.83   2.59   4.35
194904  -1.99  -3.51  -3.60  -2.24  -1.04  -2.85
194905  -4.46  -4.42  -5.60  -2.64  -3.60  -6.35
194906  -1.94  -2.12  -1.75   0.56  -0.61  -3.03
194907   6.28   6.82   5.48   5.14   5.55   6.58
194908   2.48   2.65   1.59   1.90   2.12   1.83
194909   4.57   3.73   3.32   2.17   3.10   3.97
194910   4.84   3.14   3.91   3.14   2.85   2.93
194911  -0.44  -0.22  -0.48   1.43  -1.29   0.29
194912   5.66   5.45   7.87   4.59   3.10   6.09
195001   7.06   4.39   4.42   0.73   1.71   3.43
195002   1.07   1.27   0.25   0.88   0.75   0.28
195003   1.78  -1.68  -2.58   1.41   0.40   0.21
195004   5.49   5.07   7.32   4.17   2.82   5.11
195005   0.99   2.01   2.66   3.93   4.22   3.24
195006  -7.74  -8.33  -9.64  -5.92  -6.83  -5.47
195007   0.55   2.99  11.20  -3.62   4.33  12.97
195008   3.49   4.69   4.41   4.80   3.25   1.59
195009   5.16   4.43   4.27   5.32   3.25   4.23
195010  -0.72  -0.57   0.01  -0.34  -0.66   1.74
195011  -0.57   0.75   3.53   0.56   1.93   1.85
195012   4.14   6.16  11.44   2.82   5.92   9.99
195101   6.44   6.73  10.41   4.97   5.22   8.42
195102   1.06   0.57  -0.64   1.53   1.21  -2.29
195103  -2.16  -3.67  -6.18  -1.08  -3.20  -5.49
195104   2.01   3.40   6.21   4.25   5.55   6.57
195105  -2.55  -3.36  -3.83  -3.07  -2.60  -4.47
195106  -4.62  -5.27  -7.89  -2.54  -1.57  -7.10
195107   5.20   4.74   6.58   6.52   7.16   8.90
195108   4.97   4.67   4.48   3.37   3.52   4.04
195109   1.61   2.27   2.30   0.36  -0.15   1.15
195110  -2.14  -2.03  -3.59  -3.94  -0.67  -2.33
195111  -0.82  -0.32  -0.62  -0.12  -0.53  -0.28
