This file was created by CMPT_EP_CFP_OP_INV_NI_AC_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on AC/B.

The portfolios are constructed at the end of June. Ac/B (accruals) is the change in 
operating working capital per split-adjusted share from t-2 to t-1
divided by book equity per split-adjusted share in t-1.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196307,    0.53,   -0.06,    0.12,   -0.04,   -2.07,    0.38,    0.74,   -0.58,    0.13,   -0.40,    0.55,    0.96,   -1.77,   -2.44,   -1.82
196308,    7.03,    4.82,    4.80,    6.48,    6.28,    6.53,    7.74,    4.57,    4.91,    4.75,    4.84,    6.10,    7.16,    5.93,    6.52
196309,   -0.67,    0.00,   -2.38,   -2.11,   -0.07,   -0.68,   -0.65,   -0.12,    0.05,   -1.81,   -2.84,   -1.89,   -2.49,   -2.20,    1.38
196310,   10.40,    2.69,    2.62,    3.11,    0.65,   14.15,    5.22,    4.09,    2.18,    1.16,    3.83,    3.28,    2.80,    0.59,    0.68
196311,   -3.73,    1.21,   -0.98,   -0.25,   -0.59,   -5.90,   -0.47,   -0.61,    1.89,   -1.93,   -0.22,   -0.66,    0.47,    0.33,   -1.19
196312,    1.14,    2.33,    4.16,    2.19,   -0.53,   -0.24,    3.05,    3.62,    1.86,    3.10,    4.99,    3.18,    0.43,   -1.55,    0.14
196401,    1.47,    3.81,    3.32,    2.41,    0.75,    2.16,    0.55,    4.12,    3.69,    2.43,    4.02,    2.80,    1.70,   -1.08,    1.95
196402,    1.84,    2.09,    1.03,    2.56,    2.57,    0.74,    3.34,    4.35,    1.24,    1.96,    0.33,    1.65,    4.22,    3.90,    1.72
196403,    2.49,    1.85,    2.50,    1.34,    1.65,    1.86,    3.33,    4.10,    0.99,    2.39,    2.58,    0.72,    2.46,    5.15,   -0.59
196404,    1.44,    0.37,    1.09,   -1.60,    0.02,    2.93,   -0.52,   -0.73,    0.81,    2.21,    0.22,   -0.41,   -3.68,   -1.07,    0.76
196405,    3.17,    1.64,    0.90,    0.65,    2.07,    2.53,    4.05,    3.27,    1.00,    0.82,    0.97,    0.81,    0.37,   -0.68,    3.89
196406,    1.78,    1.78,    0.99,    1.62,    2.37,    1.71,    1.87,   -0.10,    2.53,    2.72,   -0.38,    1.36,    2.10,    2.44,    2.32
196407,    2.70,    0.42,    0.84,    4.56,    1.25,    2.93,    2.53,   -0.80,    2.61,    1.95,   -0.81,    5.16,    2.61,    1.89,    0.39
196408,   -0.05,   -1.24,   -2.52,    0.01,   -0.82,    1.64,   -1.34,   -1.55,   -0.70,   -2.05,   -3.23,    0.32,   -1.00,   -1.54,    0.16
196409,    4.13,    2.04,    2.68,    3.58,    4.68,    4.27,    4.02,    1.30,    3.30,    3.12,    2.01,    3.60,    3.48,    5.54,    3.56
196410,    0.90,   -0.07,    1.89,    0.85,    0.57,    0.25,    1.42,    0.28,   -0.67,    3.89,   -1.23,    1.47,   -1.23,    0.31,    0.92
196411,    0.82,    0.34,    0.81,   -1.02,    1.07,    1.98,   -0.07,   -1.41,    3.33,    1.50,   -0.31,   -1.65,    1.13,    0.66,    1.61
196412,   -0.55,    0.28,   -0.04,    1.41,    1.85,    0.01,   -1.00,    1.34,   -1.44,    0.14,   -0.34,    1.61,    0.75,    1.90,    1.79
196501,    3.96,    3.41,    2.32,    4.85,    5.18,    2.93,    4.79,    2.29,    5.29,    0.02,    6.17,    4.83,    4.91,    6.63,    3.25
196502,    3.10,    0.92,   -0.71,    0.30,    1.97,    2.97,    3.20,    0.78,    1.14,   -2.42,    1.99,   -0.12,    1.73,    1.36,    2.80
196503,   -0.80,   -1.62,   -1.77,    0.21,   -2.35,   -1.05,   -0.61,   -1.44,   -1.90,   -2.32,   -0.94,    0.31,   -0.13,   -3.61,   -0.66
196504,    3.67,    3.24,    3.04,    5.37,    5.71,    5.16,    2.50,    3.97,    2.04,    1.80,    4.86,    5.83,    3.85,    4.18,    7.71
196505,   -0.27,    1.21,   -0.86,   -2.25,    1.38,   -1.28,    0.54,    1.54,    0.67,   -0.49,   -1.39,   -2.80,   -0.43,    2.39,    0.10
196506,   -6.59,   -4.35,   -3.60,   -6.39,   -6.14,   -6.67,   -6.53,   -3.53,   -5.72,   -2.47,   -5.23,   -6.41,   -6.33,   -5.99,   -6.34
196507,    3.27,    1.13,    2.10,    1.97,    0.59,    3.84,    2.88,    3.66,    0.38,    2.01,    2.27,    0.77,    2.60,    1.92,   -0.44
196508,    4.62,    3.20,    2.02,    3.69,    3.99,    3.69,    5.29,    7.58,    1.84,    1.41,    3.09,    3.41,    3.84,    5.40,    2.86
196509,    2.77,    2.93,    4.77,    4.54,    1.52,    4.07,    1.85,    3.03,    2.89,    4.46,    5.32,    3.38,    5.13,    3.59,   -0.17
196510,    5.80,    2.41,    1.85,    5.77,    2.58,    7.33,    4.71,    5.25,    1.48,    1.93,    1.72,    5.96,    5.67,    4.42,    1.03
196511,    3.61,   -0.99,    0.19,   -1.05,    3.70,    3.41,    3.76,    0.35,   -1.44,    0.24,    0.12,    0.99,   -2.07,    3.29,    4.06
196512,    2.72,    0.19,    2.16,    1.27,    1.65,    2.76,    2.70,    3.84,   -1.08,    1.60,    3.15,    2.21,    0.79,    0.88,    2.31
196601,    4.50,    0.61,    0.71,    1.52,    0.30,    6.10,    3.33,    3.22,   -0.34,    1.37,   -0.44,    2.86,    0.81,    3.95,   -2.84
196602,    0.49,   -0.45,   -2.21,    0.37,   -0.21,   -0.38,    1.15,   -1.48,   -0.06,   -2.71,   -1.34,    1.82,   -0.42,   -0.62,    0.17
196603,   -1.60,   -1.83,   -2.98,   -2.53,   -1.76,   -0.34,   -2.52,    0.51,   -2.70,   -3.40,   -2.25,   -0.66,   -3.57,   -1.37,   -2.13
196604,    4.29,    3.32,    2.14,    0.96,    1.78,    5.48,    3.40,    3.92,    3.09,    2.11,    2.19,    3.66,   -0.59,    0.49,    2.96
196605,   -7.48,   -4.10,   -5.33,   -6.15,   -5.61,   -8.06,   -7.05,   -4.88,   -3.80,   -5.21,   -5.53,   -5.36,   -6.62,   -7.42,   -3.98
196606,    2.51,   -1.29,   -1.57,   -0.82,   -2.02,    2.72,    2.34,   -0.75,   -1.50,   -1.82,   -1.14,    0.36,   -1.54,   -2.26,   -1.82
196607,   -0.34,   -0.84,   -0.98,   -1.10,   -4.30,   -0.52,   -0.21,   -0.54,   -1.86,   -0.74,   -1.38,   -1.14,   -1.07,   -6.34,   -0.23
196608,   -8.53,   -6.22,   -7.23,   -9.54,   -7.39,  -10.45,   -7.12,   -6.13,   -6.54,   -7.89,   -6.16,   -9.12,   -9.82,   -6.42,   -9.20
196609,   -1.34,    0.48,   -1.58,   -2.82,   -3.21,   -0.14,   -2.19,    0.76,   -0.50,   -0.96,   -2.57,   -2.59,   -2.98,   -3.21,   -3.21
196610,    3.51,    5.06,    4.27,    0.94,    3.37,    2.43,    4.29,    5.53,    3.41,    5.71,    1.94,    2.75,   -0.29,    2.73,    4.60
196611,    4.33,   -0.02,    2.27,    6.48,    3.78,    7.53,    2.05,   -0.62,    2.14,    1.38,    3.77,    3.32,    8.69,    3.47,    4.37
196612,    0.04,    0.16,    0.54,    2.25,   -2.90,    1.15,   -0.80,   -0.28,    1.71,    0.86,    0.01,    4.69,    0.63,   -4.72,    0.51
196701,   10.46,    7.16,    9.27,   10.44,    9.79,    8.73,   11.79,    7.30,    6.68,    9.08,    9.57,    8.62,   11.70,    9.40,   10.48
196702,    0.90,    0.90,    1.41,    3.25,    1.49,    0.31,    1.35,    1.02,    0.46,    1.74,    0.88,    2.44,    3.79,   -0.14,    4.35
196703,    4.76,    3.98,    4.77,    6.98,    5.13,    4.92,    4.64,    4.33,    2.77,    4.15,    5.81,    5.95,    7.67,    5.60,    4.34
196704,    4.76,    4.53,    2.67,    5.50,    7.67,    4.66,    4.84,    5.01,    2.86,    1.30,    4.90,    5.28,    5.63,   10.22,    3.34
196705,   -3.88,   -4.43,   -4.28,   -3.49,   -5.42,   -4.54,   -3.39,   -4.75,   -3.29,   -4.29,   -4.27,   -2.24,   -4.30,   -5.90,   -4.54
196706,    4.15,    2.37,    0.51,    4.06,    4.60,    3.15,    4.88,    2.91,    0.44,   -0.21,    1.65,    4.83,    3.55,    2.45,    8.46
196707,    6.69,    3.05,    4.75,    6.67,    6.89,    6.75,    6.63,    1.09,    5.27,    5.75,    4.11,    6.94,    6.20,    6.98,    6.70
196708,   -1.03,   -1.43,   -0.20,   -0.29,   -0.32,   -1.83,   -0.20,   -1.44,   -1.41,    0.54,   -0.68,    0.01,   -0.83,   -0.15,   -0.65
196709,    1.81,    3.19,    4.69,    3.48,    4.98,   -0.13,    3.82,    1.49,    5.04,    3.08,    5.76,    3.44,    3.54,    5.19,    4.59
196710,   -2.63,   -2.64,    0.74,   -5.29,   -0.98,   -0.31,   -4.93,   -3.00,   -2.26,   -1.26,    2.04,   -4.75,   -6.24,   -1.73,    0.47
196711,    1.01,    0.65,    1.33,    0.16,   -0.30,    2.22,   -0.24,    0.04,    1.29,    0.33,    1.96,   -0.31,    0.99,   -0.79,    0.61
196712,    3.53,    3.24,    4.08,    3.33,    0.19,    4.13,    2.89,    2.60,    3.90,    4.24,    3.98,    1.95,    5.75,   -0.53,    1.51
196801,   -1.18,   -1.90,   -6.48,   -4.79,   -9.16,   -0.53,   -1.89,   -0.35,   -3.48,   -7.00,   -6.16,   -4.66,   -5.01,   -8.34,  -10.65
196802,   -2.82,   -2.38,   -3.84,   -4.32,   -4.01,   -2.59,   -3.07,   -2.64,   -2.11,   -3.26,   -4.19,   -4.26,   -4.43,   -2.78,   -6.28
196803,    1.18,    0.26,    2.88,   -0.16,    1.02,    1.70,    0.60,   -0.52,    1.07,    2.38,    3.20,   -0.68,    0.71,    0.24,    2.52
196804,    9.67,    5.91,   10.92,   11.61,   13.73,   11.94,    7.11,    4.62,    7.24,   10.81,   10.99,   10.38,   13.66,   13.65,   13.88
196805,    4.54,    0.85,    3.70,    2.20,    1.93,    4.92,    4.08,    0.21,    1.50,    2.70,    4.32,    1.23,    3.79,    0.69,    4.23
196806,    1.06,    1.57,   -0.37,    0.32,   -0.99,    1.01,    1.13,    2.98,    0.19,   -0.30,   -0.41,    0.60,   -0.12,   -1.22,   -0.56
196807,   -2.04,   -1.03,   -1.41,   -4.53,   -6.19,   -1.32,   -2.61,   -0.87,   -1.11,    0.44,   -5.12,   -5.17,   -3.86,   -4.80,   -7.39
196808,    2.36,    1.54,    1.81,    2.48,    1.38,    2.28,    2.43,    2.56,    1.06,    2.09,    1.20,    1.85,    3.14,    2.06,    0.78
196809,    7.07,    2.49,    6.29,    5.10,    4.61,    7.13,    7.02,    4.23,    1.67,    6.21,    6.45,    5.07,    5.13,    4.97,    4.30
196810,    1.33,    0.46,    2.65,   -0.12,   -0.66,    0.03,    2.36,    2.05,   -0.30,    2.86,    2.18,    0.69,   -0.97,   -1.34,   -0.04
196811,    4.80,    6.45,    3.65,    5.73,    7.80,    5.86,    3.98,    6.21,    6.56,    2.32,    6.50,    4.41,    7.13,    7.15,    8.38
196812,   -2.36,   -4.83,   -2.92,   -3.97,   -3.10,   -2.33,   -2.38,   -5.27,   -4.61,   -3.34,   -2.06,   -3.27,   -4.68,   -3.06,   -3.14
196901,   -0.88,   -0.89,   -1.31,   -0.22,   -3.43,   -1.17,   -0.65,    0.73,   -1.67,   -0.85,   -2.26,    0.87,   -1.36,   -3.14,   -3.67
196902,   -6.76,   -3.69,   -4.44,   -5.69,   -7.06,   -6.48,   -6.98,   -4.67,   -3.21,   -3.66,   -6.06,   -5.78,   -5.60,   -5.54,   -8.40
196903,    4.19,    4.11,    4.26,    3.45,    1.92,    3.38,    4.83,    1.38,    5.44,    5.47,    1.71,    5.40,    1.37,    1.36,    2.43
196904,    0.87,    3.48,    0.50,    2.84,    3.02,    1.25,    0.57,    4.86,    2.83,    0.21,    1.13,    2.66,    3.04,    3.76,    2.35
196905,   -0.25,    0.89,    1.40,    0.34,   -1.97,   -0.21,   -0.29,    1.63,    0.54,    1.52,    1.14,    0.06,    0.64,   -2.19,   -1.76
196906,   -8.70,   -4.02,   -7.79,   -5.53,   -7.86,   -7.83,   -9.40,   -6.17,   -2.98,   -7.64,   -8.12,   -5.41,   -5.67,   -6.61,   -9.01
196907,   -6.26,   -6.51,   -5.64,   -7.56,   -8.93,   -7.83,   -5.76,   -7.42,   -6.04,   -6.61,   -3.83,   -7.55,   -7.57,   -7.80,   -9.77
196908,    6.51,    5.13,    4.61,    4.20,    8.79,    8.50,    5.90,    4.63,    5.38,    4.26,    5.25,    3.77,    4.82,    7.31,    9.90
196909,   -1.43,   -4.25,   -1.75,    0.01,   -1.89,   -2.41,   -1.12,   -2.40,   -5.18,   -1.98,   -1.34,   -0.13,    0.22,   -1.83,   -1.94
196910,    5.82,    3.88,    4.65,    6.19,    8.84,    6.37,    5.64,    5.10,    3.25,    2.96,    7.66,    6.07,    6.36,    7.99,    9.47
196911,   -2.99,   -2.12,   -3.48,   -2.60,   -3.98,   -4.17,   -2.62,   -2.92,   -1.70,   -3.51,   -3.44,   -3.12,   -1.86,   -2.54,   -5.04
196912,   -1.40,   -1.76,   -1.43,   -1.67,   -3.77,   -3.28,   -0.81,   -2.66,   -1.29,   -1.25,   -1.74,   -0.96,   -2.66,   -2.01,   -5.08
197001,   -8.32,   -7.75,   -7.49,   -7.85,   -7.19,  -11.48,   -7.36,   -7.29,   -7.98,   -8.78,   -5.32,   -7.96,   -7.69,   -6.54,   -7.70
197002,    4.80,    6.40,    5.83,    4.07,    3.92,    6.71,    4.25,    6.03,    6.59,    5.91,    5.69,    6.21,    1.02,    3.02,    4.63
197003,   -1.49,   -0.48,    0.71,   -0.59,   -2.78,   -2.46,   -1.21,   -0.50,   -0.47,    2.26,   -1.82,   -0.22,   -1.15,   -1.66,   -3.64
197004,  -12.92,   -7.81,   -8.10,  -11.71,  -15.80,  -13.84,  -12.66,   -7.06,   -8.19,   -8.21,   -7.93,  -11.32,  -12.30,  -15.62,  -15.94
197005,   -7.58,   -4.98,   -4.87,   -7.81,   -9.27,  -10.65,   -6.69,   -5.36,   -4.78,   -4.30,   -5.84,   -7.09,   -8.90,   -7.45,  -10.71
197006,   -7.26,   -4.55,   -3.15,   -5.67,   -7.43,   -6.77,   -7.39,   -2.30,   -5.71,   -1.81,   -5.45,   -3.93,   -8.37,   -8.02,   -6.95
197007,    7.71,    9.08,    7.95,    4.69,    3.47,    9.16,    6.53,    9.89,    8.08,    9.77,    6.26,    4.44,    5.44,    0.97,    7.20
197008,    4.72,    4.63,    4.80,    4.72,    8.34,    3.91,    5.39,    4.29,    5.05,    4.56,    5.04,    4.56,    5.18,    7.08,   10.10
197009,    6.54,    1.72,    4.01,    8.11,   10.78,    8.97,    4.54,    2.09,    1.26,    3.06,    4.92,    8.58,    6.75,   10.16,   11.62
197010,   -1.31,   -0.78,   -1.39,   -1.56,   -4.39,   -2.46,   -0.33,   -0.26,   -1.43,   -1.99,   -0.82,   -0.88,   -3.60,   -3.43,   -5.67
197011,    3.74,    5.93,    4.08,    5.09,    3.08,    3.16,    4.23,    5.61,    6.34,    4.57,    3.62,    4.88,    5.75,    3.74,    2.18
197012,    6.77,    5.68,    7.83,    5.00,    6.35,    7.64,    6.05,    4.98,    6.56,    8.52,    7.17,    4.02,    7.98,    7.82,    4.31
197101,    8.57,    2.82,    5.80,    5.33,    8.59,    7.51,    9.46,    3.22,    2.31,    6.51,    5.12,    5.28,    5.48,    8.03,    9.39
197102,    3.88,    0.92,    2.84,    1.95,    2.59,    4.56,    3.32,    0.83,    1.02,    2.21,    3.44,    1.67,    2.74,    2.56,    2.65
197103,    5.06,    3.27,    4.52,    5.48,    6.29,    5.15,    4.98,    3.11,    3.47,    2.82,    6.13,    6.07,    3.78,    6.62,    5.81
197104,    5.15,    3.77,    4.87,    3.56,    5.62,    6.27,    4.20,    3.53,    4.07,    5.37,    4.42,    2.69,    6.14,    5.67,    5.57
197105,   -3.91,   -3.83,   -2.34,   -4.52,   -3.22,   -3.27,   -4.46,   -4.37,   -3.16,   -2.56,   -2.13,   -4.68,   -4.04,   -2.85,   -3.74
197106,   -0.34,   -0.05,    1.52,   -0.68,    0.57,    0.08,   -0.70,    0.95,   -1.27,    0.25,    2.69,   -0.78,   -0.41,    1.69,   -1.03
197107,   -5.71,   -4.58,   -2.71,   -5.79,   -5.05,   -6.58,   -5.15,   -5.67,   -3.00,   -3.08,   -2.29,   -6.04,   -5.30,   -4.10,   -6.05
197108,    5.47,    3.42,    4.52,    7.19,    5.12,    6.06,    5.10,    1.84,    5.64,    3.60,    5.55,    7.98,    5.68,    4.89,    5.38
197109,   -0.60,   -0.49,   -0.01,   -1.28,    0.32,   -0.67,   -0.55,    0.24,   -1.47,    0.63,   -0.72,   -1.00,   -1.81,    0.96,   -0.36
197110,   -6.35,   -3.38,   -4.32,   -5.03,   -5.52,   -6.01,   -6.58,   -2.12,   -5.12,   -4.32,   -4.33,   -4.57,   -5.92,   -4.13,   -7.03
197111,   -0.60,    0.07,    0.30,    0.53,   -0.80,   -0.61,   -0.59,    0.02,    0.13,    0.74,   -0.18,    1.45,   -1.29,    0.03,   -1.74
197112,   10.50,    8.58,    9.24,   10.09,    9.98,   11.95,    9.57,    9.08,    7.88,    9.12,    9.37,    9.06,   12.16,    9.35,   10.69
197201,    4.41,    2.91,    1.91,    2.71,    4.65,    4.29,    4.48,    4.60,    0.46,    2.59,    1.15,    1.90,    4.29,    3.59,    5.83
197202,    4.49,    1.39,    5.14,    3.87,    4.35,    2.61,    5.74,    1.26,    1.60,    4.58,    5.78,    3.73,    4.13,    5.72,    2.83
