This file was created by CMPT_VAR_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on VAR.

The portfolios are constructed at the end of each month.

The residual return variance is measured over 60 days up to formation monthend requiring at least 20 non-missing daily returns.  
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196606,   -2.03,   -0.14,   -0.74,   -0.48,    2.54,   -2.23,   -1.49,    0.05,   -0.36,   -1.41,    0.31,   -1.22,    0.38,    2.70,    2.35
196607,   -0.51,   -2.05,   -2.06,   -1.73,   -2.35,   -0.31,   -0.90,   -2.99,   -0.68,   -1.51,   -3.05,   -2.99,   -0.32,   -1.01,   -3.68
196608,   -6.27,   -8.75,   -8.08,   -8.94,  -10.20,   -5.86,   -7.03,   -7.85,   -9.99,   -8.17,   -7.92,   -8.92,   -8.96,   -9.11,  -11.73
196609,   -0.19,    0.64,   -0.56,   -2.63,   -4.62,    0.35,   -1.64,   -0.36,    2.17,    0.65,   -2.03,   -1.13,   -4.84,   -4.93,   -4.19
196610,    5.92,    4.95,    5.51,    2.34,   -6.54,    6.31,    4.78,    6.16,    3.44,    6.13,    4.74,    4.45,   -0.95,   -5.04,   -9.04
196611,   -0.89,    1.39,    2.50,    5.98,   13.91,   -1.48,    0.06,    1.99,    0.73,    2.36,    2.68,    4.28,    8.01,   14.29,   13.14
196612,   -0.12,    0.63,    1.63,    1.15,    1.37,   -0.38,    0.33,    1.08,    0.18,    2.74,    0.23,    0.10,    2.62,    2.01,    0.31
196701,    6.92,    7.44,    9.99,   11.62,   18.56,    7.52,    5.58,    6.82,    8.20,    9.08,   10.84,   10.04,   14.13,   15.10,   23.06
196702,    0.67,    0.66,    1.81,    1.82,    4.40,    1.36,   -0.68,   -0.30,    1.68,    2.06,    1.47,    2.31,    1.26,    2.74,    5.99
196703,    3.82,    4.58,    4.85,    6.95,    4.84,    3.28,    4.68,    5.29,    3.79,    4.40,    5.57,    6.05,    8.60,    3.34,    6.50
196704,    3.99,    3.38,    5.85,    4.97,    5.16,    3.47,    5.00,    2.65,    4.20,    4.20,    7.96,    5.73,    4.03,    6.54,    3.84
196705,   -4.40,   -3.71,   -4.16,   -2.58,   -2.26,   -3.93,   -5.33,   -3.69,   -3.73,   -4.59,   -3.72,   -3.71,   -1.31,   -1.68,   -2.83
196706,    1.47,    1.38,    3.80,    6.34,   10.68,    1.48,    1.44,    1.26,    1.59,    4.23,    3.32,    5.84,    7.00,    8.85,   12.17
196707,    3.59,    5.51,    5.46,    7.74,    8.26,    2.59,    6.13,    6.88,    4.33,    5.01,    6.07,    8.06,    7.34,    7.22,    9.43
196708,   -0.74,   -0.34,    0.26,   -1.08,   -1.62,   -1.01,   -0.46,    0.98,   -1.64,    0.72,   -0.46,   -0.69,   -1.67,   -1.30,   -1.95
196709,    3.45,    2.74,    3.30,    3.31,    5.34,    4.49,    2.58,    2.67,    2.83,    3.72,    2.72,    2.47,    4.59,    4.31,    6.29
196710,   -1.60,   -4.87,   -5.11,   -0.53,   -2.29,    0.29,   -3.46,   -5.18,   -4.54,   -5.15,   -5.06,   -0.68,   -0.32,   -1.64,   -2.90
196711,    0.88,   -0.34,    0.66,    1.92,    0.92,    0.60,    1.51,   -0.93,    0.29,    0.92,    0.40,    2.06,    1.70,    1.58,    0.31
196712,    2.65,    2.60,    2.03,    5.58,    9.38,    2.14,    3.99,    1.47,    3.97,    2.05,    2.02,    4.74,    6.89,    6.44,   12.60
