
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198006   4.31   5.88   2.70   4.25   4.85   5.68   8.75   5.21   4.13  -1.11
198007  -5.18  -4.43  -5.38  -3.92  -4.10  -4.23  -4.50  -5.31  -6.40  -5.40
198008   6.15   6.74   6.43   6.88   6.34   6.64   7.37   6.58   8.25   2.39
198009   5.64   5.80   5.62   6.83   5.98   7.58   5.26   5.50   7.62   4.51
198010   2.84   3.57   3.79   4.86   4.34   5.19   2.78   1.92   5.00  -0.43
198011  -3.44  -4.39  -2.80  -4.72  -3.47  -4.49  -3.70  -3.99  -2.66  -5.03
198012   7.16   7.34   5.66   7.44   7.20   8.99   5.14   8.40   5.10   9.07
198101   2.12   2.12   1.12   0.91   2.30   1.11   1.81   1.14   2.87  -2.20
198102  -1.93  -1.44  -1.31  -1.56  -1.87  -4.73   0.77  -3.23   1.31  -6.20
198103   5.52   7.06   3.48  11.23   2.83   9.35   0.72   5.65   5.81  -0.45
198104   6.55  12.33   2.23  16.96   1.31  14.61   3.65   6.05   5.39  -7.43
198105  -3.03  -1.80  -2.50   1.58  -5.02  -1.84  -4.11  -2.29  -0.58  -9.97
198106   3.64   6.22   1.21   4.95   1.58   7.84   1.30   2.72   0.58   4.41
198107  -3.99  -1.68  -7.05  -0.24  -6.12  -1.45  -7.06  -2.86  -5.09  -9.25
198108   4.56   3.67   4.32   3.37   4.43   4.97   3.90   9.00   1.59  10.60
198109 -10.11 -13.67  -8.78 -17.36  -5.09 -13.69  -8.93  -8.17 -10.86  -2.66
198110  -0.54   0.28   2.02  -1.23   1.32  -2.83  -0.36  -4.16   2.75  -0.18
198111   9.54   7.91   8.88   4.25  12.06   6.78  11.45  11.25   9.42   9.59
198112   1.17   0.34  -0.29   2.23   1.76   0.93  -0.38  -0.49   2.30  -1.32
198201  -3.18  -3.28  -2.61  -3.17  -2.87  -4.59  -3.17  -4.96  -1.36  -3.05
198202  -6.52  -3.30  -7.03  -5.87  -6.25  -7.04  -7.14  -5.92  -7.57  -5.43
198203  -7.82  -8.04  -8.48  -8.90  -6.78  -7.11  -9.90  -5.03 -10.34   5.63
198204   6.42   7.70   6.72   6.95   6.11   4.55   6.41   4.36   8.29  -4.91
198205  -3.94  -3.71  -3.34  -4.13  -3.99  -5.98  -3.45  -6.36  -2.40  -6.59
198206  -5.91  -6.38  -5.48  -6.69  -5.47  -6.71  -3.37  -7.29  -5.54  -5.55
198207  -3.30  -3.27  -3.01  -3.94  -3.00  -4.01  -4.67  -3.46  -3.44   7.49
198208  -1.08   0.05  -1.08   0.33  -1.77  -1.44  -2.27  -1.61  -0.21  -6.31
198209  -3.88  -3.83  -3.66  -4.31  -4.16  -5.42  -1.86  -5.91  -2.86 -15.27
198210  -0.52  -0.30  -0.44   0.65  -1.30  -1.25   0.16  -3.03   1.57   3.96
198211  17.76  16.53  17.01  19.99  15.69  21.51  19.98  17.73  18.86  13.14
198212  11.32  13.08  10.19  14.24   9.53  15.20   8.43  13.18  11.25  16.23
198301  -3.50  -2.07  -2.93  -6.42  -1.04  -2.51  -4.12  -0.71  -5.20  31.08
198302   1.60   3.94   1.36   0.76   2.12   4.35   1.04   5.53   0.42  -2.24
198303   2.49   0.35   0.93   3.89   1.29  -0.65   5.05   0.46   2.86  -4.85
198304   2.43   0.76   2.99   3.10   2.26  -0.19   3.11   1.57   3.14  12.93
198305   0.30  -1.05   2.07  -0.88   0.04  -2.48   2.77  -2.93   2.15  -1.89
198306   2.06  -0.33   2.59   2.65   1.75   1.87   0.59   0.70   3.11   2.34
198307   0.96  -0.92   2.33   0.64   2.21  -2.07   1.12  -1.74   3.20  -6.92
198308  -1.34  -1.45  -0.34  -2.38   0.46  -1.00   2.66  -0.48  -1.33   1.18
198309   7.21   5.98   5.95   8.06   5.89   9.63   3.13   6.50   7.36   5.40
198310  -0.05   1.64  -0.85   0.59  -1.76   1.13  -0.30   0.37  -1.34  -3.42
198311   0.05  -0.99   0.92  -1.23  -0.99  -1.09   0.18  -2.02   0.49  -7.04
198312   7.53   8.56   5.61   8.62   5.51  10.91   5.63   9.86   6.62   3.14
198401   5.19   3.28   3.80   4.99   1.22   2.97   2.84   4.83   1.67   2.55
198402  -0.21  -0.56  -1.71  -1.20  -2.47  -2.90  -2.34   0.69  -3.74  -2.03
198403  17.95  15.40  14.89  15.70  13.82  11.78  12.78  17.02  12.11   9.98
198404  -2.01  -2.64  -3.84  -2.02  -1.87  -3.51  -3.79  -1.53  -3.60  -1.57
198405 -12.61 -11.08 -13.65 -13.27 -11.99 -12.14 -11.20 -10.35 -13.59  -3.79
198406  -0.27  -1.13   0.46  -0.52   0.54  -0.99  -1.13  -1.61  -0.04   0.34
198407  -7.23  -7.16  -8.14  -7.31  -7.10  -6.05  -6.54  -6.72  -6.41 -10.70
198408   9.08   7.13  11.85   9.14  10.87   9.43  12.18   5.11  13.48   7.15
198409  -0.42  -3.85   3.64  -2.71   2.01  -1.93   1.48  -4.39   2.32   3.22
198410   4.30   4.19   2.70   5.37   4.23   0.41   4.23   3.91   0.80   3.44
198411   1.07   3.01  -1.87   1.65  -2.49  -1.14  -3.35   3.79  -5.34   3.55
198412   3.98  10.63   0.27   7.49  -0.16   8.59   0.82  10.76   0.21  -1.06
198501  -0.18   1.17  -0.42  -0.29  -0.67  -2.76   1.47  -5.00   0.32  -2.28
198502   3.83  -0.96   7.88  -0.97   8.77  -0.99  -3.37  -2.06   7.50   0.24
198503   5.50   2.83   5.50   2.91   5.87   4.82   2.78   8.67   2.74  14.55
198504  -3.86  -1.31  -5.34  -1.47  -6.19  -3.06  -2.39  -2.79  -5.19   1.26
198505   3.84   1.39   4.35   1.95   5.46   6.43   0.62   9.73   1.69   6.51
198506   4.57   4.41   5.10   3.69   5.23   4.27  -0.07   3.68   4.46   2.48
198507   0.96   2.24   0.65  -0.88   2.08   1.33  -0.13   5.51  -1.64   1.74
198508   2.22   3.58  -0.12   3.39   0.52   4.54   5.27   6.61  -0.39  -3.00
198509  10.20  11.41   6.76  15.68   6.14  19.87   8.63  23.93   4.90   6.42
198510   2.43   0.86   4.72   0.96   2.14  -3.26   7.07  -7.25   6.97   4.44
198511   1.69   2.26   1.52   1.64   0.39   0.51   2.80   0.06   1.68   1.59
198512   5.83   4.00   6.28   7.81   5.92   9.56   6.72   6.38   5.95  10.26
198601   2.87   5.17   1.59   5.12   1.53   3.20   7.79   3.53   2.16   1.82
198602  11.22   6.51  12.48   5.07  11.29   6.39  10.84  15.73   9.16  15.71
198603  19.46  13.82  22.25  12.84  20.96  16.69  20.66  18.16  19.47  15.51
198604   4.10  12.64  -0.32  13.68  -1.92   9.87   5.57   1.80   1.68   3.54
198605   1.56  -1.78   3.46  -3.02   3.73  -4.52   3.79   0.61   2.32   9.47
198606   7.74   6.82   7.35   7.34   6.50   7.09   5.72  12.38   5.30  10.01
198607  14.07   3.86  18.68   4.90  15.02  17.98  11.11  27.27  12.72  10.75
198608   7.93  13.48   7.57  10.08   5.64  11.29   0.34   5.87   5.21  -6.23
198609   3.80   5.84   4.52   4.84  -1.10  12.90   1.49   9.57   0.79  -8.13
198610 -12.61 -11.96 -13.57  -8.55 -11.33 -12.47 -10.46 -17.55  -9.41  -8.92
198611   4.68   2.51   4.91   1.65   6.15   1.22   8.50   4.37   5.57   6.29
198612   8.27   8.23   9.50   7.63  10.81   8.02   9.94   7.34  10.86   1.92
198701  18.02   2.80  27.46   1.54  19.47   3.18   4.18   8.82  24.91   8.76
198702   0.37   0.83   0.37  -0.43  -1.23   0.67   3.97   3.46  -0.99  12.73
198703  11.14   3.76  14.08   2.52  14.71   0.39   8.91   7.09  14.74  12.47
198704  16.82  11.43  19.52  11.50  15.68  12.58   7.19  13.09  18.03  18.99
198705  -1.39   5.46  -4.01   3.47  -1.23  -0.91   5.29  -1.64  -2.90  -1.73
198706  -7.83   4.57 -11.87   3.14  -8.57   2.34  -6.50  -2.38 -11.44  -7.76
198707  -3.10   2.25  -4.70   1.65  -5.19  -1.75  -0.95  -3.42  -4.14  -3.74
198708  11.90   6.38  13.85   7.32  11.48   7.09   8.60  13.40  12.85  17.15
