This file was created using the 201509 Bloomberg database.

Missing data are indicated by -99.99.



        Mkt-RF     SMB     HML     WML      RF
199007    4.17   -2.31   -2.62  -99.99    0.68
199008   -8.48    3.15    3.12  -99.99    0.66
199009   -8.85    4.28   -0.25  -99.99    0.60
199010   -2.26   -4.47   -2.47  -99.99    0.68
199011   -2.86   -1.76   -0.48    3.13    0.57
199012   -1.21   -3.20   -1.07    3.00    0.60
199101    5.51   -3.77    1.42    1.06    0.52
199102    8.78   -0.27   -2.26   -3.02    0.48
199103    1.69   -0.59    1.71    3.07    0.44
199104    2.71    0.68   -0.07   -0.12    0.53
199105   -0.87   -1.37    0.79    4.55    0.47
199106   -0.92    0.88   -0.20    0.70    0.42
199107    5.55   -1.36    3.83   -0.14    0.49
199108   -1.94    0.08   -0.11    2.82    0.46
199109    0.70    0.97    1.39    2.00    0.46
199110    3.91    0.42    1.29   -0.48    0.42
199111   -0.65    2.66    0.07   -2.01    0.39
199112    1.20   -2.18   -1.86    2.91    0.38
199201    1.02    0.62   -0.50    0.93    0.34
199202    1.57    0.42    1.24    2.79    0.28
199203   -0.12   -0.12   -0.49    1.06    0.34
199204    5.35   -4.62   -0.37    1.30    0.32
199205    7.45   -2.25    4.23    4.36    0.28
199206   -1.37    0.17   -0.36    2.01    0.32
199207   -3.95    2.20   -1.33    0.85    0.31
199208   -6.48    0.40    0.22    4.46    0.26
199209   -2.82    1.20    1.82    1.41    0.26
199210    2.18   -2.32    1.36    8.78    0.23
199211   -1.55    1.49    0.03   -2.11    0.23
199212    1.03    0.63   -5.11   -7.07    0.28
199301    0.71    0.76    0.56    2.32    0.23
199302    8.00   -1.43    1.44   -0.35    0.22
199303    2.59    3.85   -1.42   -0.49    0.25
199304    5.46    3.35    1.34    2.99    0.24
199305    4.82    2.56    1.05    4.88    0.22
199306   -2.83    2.03    1.71   -0.17    0.25
199307    2.45    0.81   -3.47    3.10    0.24
199308    6.57   -1.14    0.39   -1.43    0.25
199309   -0.08   -2.42   -0.71   -2.19    0.26
199310   15.73   -5.30    2.42    1.45    0.22
199311   -2.43    2.44    1.78   -0.94    0.25
199312   20.05   -6.46    8.72    3.11    0.23
199401    1.07    3.57    2.15   -3.05    0.25
199402   -6.42    6.19    0.22   -1.62    0.21
199403   -9.99    0.73    0.46   -2.32    0.27
199404    2.21   -1.38   -0.73   -0.19    0.27
199405    4.17   -4.24    1.00    1.19    0.31
199406   -6.38    2.28   -1.31    1.39    0.31
199407    4.74   -4.07    1.08    1.86    0.28
199408    3.62   -2.85   -0.18    2.33    0.37
199409   -2.53    0.84   -0.34    1.52    0.37
199410    1.04   -3.11    0.84    0.33    0.38
199411   -8.22    1.04    1.00    0.50    0.37
199412   -1.30   -1.64    1.21    1.74    0.44
199501   -7.59   -1.82    2.08    3.55    0.42
199502    5.79   -6.13    1.81   -7.41    0.40
199503    0.46   -2.79   -0.13    0.09    0.46
199504    1.12   -0.68    0.15    3.76    0.44
199505    4.04   -3.78   -1.86   -0.30    0.54
199506   -2.31    2.10    0.70   -0.24    0.47
199507    4.79    3.35   -2.37   -0.28    0.45
199508   -1.55    5.18   -3.55   -0.25    0.47
