This file was created by CMPT_ME_BEME_NI_ACCR_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME, BEME, NI, and AC/B.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. NI (net stock issues), the change in the natural 
log of the split-adjusted shares outstanding from the fiscal year-end in t−2 to t−1. 
Ac/B (accruals) is the change in operating working capital per split-adjusted share from t−2 to t−1
divided by book equity per split-adjusted share in t−1.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
                             Small                                                2                                                 3                                                 4                                               Big                        
                             AllBM                                             AllBM                                             AllBM                                             AllBM                                             AllBM                       
                             AllNI                                             AllNI                                             AllNI                                             AllNI                                             AllNI                       
         LoAcB        2         3         4      HiAcB     LoAcB        2         3         4      HiAcB     LoAcB        2         3         4      HiAcB     LoAcB        2         3         4      HiAcB     LoAcB        2         3         4      HiAcB   
196502    3.9275    4.1655    3.0166    3.2908    2.1538    4.9783    3.3820    4.0483    3.3794    3.8421    5.7277    7.6059    4.5997    2.4233    3.8916    4.5531    2.9850    2.0131    4.7845    2.4862    2.2976    0.6408   -1.1252   -0.6108    1.6935
196503    1.8743    0.7164    4.2771    2.5507    1.8528    2.1164    3.0729   -0.3621    0.8649   -1.2751   -0.8717   -0.0748    0.9299    0.8292   -0.5245   -1.7869    0.3149    0.5807   -0.5395    0.5484   -0.8454   -1.8308   -2.0781    0.2459   -3.0557
196504    4.5837    3.6274    1.3169    5.4833    5.9737    2.5012    6.8037    3.8056    4.1054    4.5632    4.7075    3.9905    3.0322    3.0743    6.8045    4.2858    3.3579    5.8264    2.9964    7.0378    3.4196    3.1799    2.8016    5.9156    5.4680
196505   -2.3499   -1.0144    1.0001    0.4630    0.7882   -0.5471    0.7111   -0.2916   -1.8800    3.2873   -1.4720    4.6965    0.0496   -0.7910   -1.1339    1.6312   -0.4703   -1.2427   -1.0896   -0.6557   -0.5050    1.2916   -0.8716   -2.5672    1.8103
196506  -11.1108   -8.2251  -10.3400   -8.6896  -10.2822   -9.7289   -6.7927   -8.6146   -9.5288  -10.2386   -9.6401  -11.0821   -7.4278   -7.1791  -10.0863   -9.0382   -7.2703   -7.1994   -7.6374   -7.9588   -5.1843   -3.9865   -3.0813   -6.0462   -5.3093
196507    2.6261    3.8991    2.8917    2.7182    3.1323    3.3175    2.4094    2.8592    1.1246    3.0547    2.3389    5.1483    1.7689    3.2090    4.8536    3.3287    3.7215    2.8249    4.6624    2.2189    3.4175    0.8932    2.0600    1.4438   -0.5254
196508    2.8095    4.2008    4.3399    2.4476    5.2732    4.6020    4.7690    4.0355    5.0605    7.1062    5.0287    4.9868    7.6849    7.5718    8.2322    6.3955    2.7256    3.5389    5.1777    3.5778    4.0118    3.1728    1.7662    3.1802    3.4101
196509    4.1627    0.1461    3.8679    5.5647    4.1687    5.3906    1.1250    0.5413    3.4153    6.8311    2.2734    3.4262    5.3704    6.1254    4.9240    4.7138    5.0580    1.9963    4.5620    4.1346    1.7384    2.8271    4.9575    4.4477   -0.0209
196510    9.4391    7.4574    4.9519    7.4278    7.8564    6.1713    4.9890    2.4883    4.0955    7.7608    8.0957    6.1845    6.8445    6.6956    6.8373    5.8701    3.4002    5.3942    2.9928    3.8994    5.1730    2.2350    1.5125    6.2300    1.0717
196511   12.2361    2.2464    4.3067    4.5074    7.3176    6.8062    0.7532    3.6322    3.9345    5.7650    0.9371    4.7337    6.8504    5.2325    4.1311    2.8150    4.4514    1.9583    5.2643    4.8746    3.3387   -1.4479   -0.1384   -2.7883    2.9247
196512    5.1793    5.7275    1.4292    5.4891    4.6633    5.5464    5.1548    1.8341    9.5292    3.1618    5.8397   -0.2402    1.9415    4.2848    4.4247    5.0500    3.7884    3.4019    0.2091    2.3400    0.9145   -0.0895    2.1063    0.9624    0.7963
196601    7.6804    3.8997    5.9542    9.6858    7.2336    5.8892    5.7269    4.3302    8.1777    3.0620    2.2899    3.6996    4.7608    3.7839    6.1276    2.4635    5.3056    3.7175    2.0163    4.3192    5.2670    0.1760    0.3486    0.9004   -2.3206
196602    6.1318    2.8821    4.1874    4.7304    7.5697    0.7111    0.5889   -1.9371    4.4888    2.6844    2.7538    0.5834    2.0270    4.3149    5.4336    2.2478    2.3123    0.8464    1.9171   -1.3379   -1.1063   -0.6827   -2.5644   -0.4497   -1.4577
196603    0.3197    0.1619   -3.7942   -2.3811    0.1540   -3.3536   -3.6879   -3.8242   -3.4141   -3.1423   -1.8411   -3.3506    0.2902   -5.2210   -3.6871   -1.6994   -3.0464   -2.0186   -0.9864   -0.8698   -1.5807   -1.7030   -3.1227   -2.5997   -1.8355
196604   11.7597    3.0354    4.6806    4.5512    5.8125    3.6875    4.3124    4.7210    3.6245    8.7599    5.9898    4.3556    8.2993    3.9866    2.4057    3.8951    2.6037    3.5863    4.4697    5.6643    3.4985    3.3428    1.8093   -0.1488   -0.4728
196605  -14.5334   -9.8874   -7.7006   -8.3173  -12.4725   -9.6910   -8.8229   -8.4095  -11.2650  -11.3981   -6.6700   -9.1372   -8.6760   -8.6659   -9.6460   -6.6188   -7.2108   -6.0718   -6.9687   -7.1287   -6.9909   -3.6945   -5.1165   -5.5495   -3.3391
196606    2.6024   -0.3944    1.5125    0.3022   -0.0351    1.2610   -1.0578   -0.2678   -0.2389    1.3023    0.1545   -1.4102    5.2521    1.1269    1.8824    4.4667    0.2091   -0.3212   -0.7858    1.7277    2.0372   -1.3952   -1.9090   -1.0276   -4.1991
196607   -2.5581   -0.9685   -1.0509   -1.9141   -1.4067   -0.6632   -2.3302   -2.3255   -3.3332   -0.9088   -2.5133   -2.7339   -1.6930   -0.3282    0.7629   -2.3904   -2.2644   -0.9471   -2.4984   -4.3588    0.3602   -0.7080   -0.9324   -0.5735   -5.1317
196608  -12.0780  -11.8795   -8.9078  -11.0191   -9.9729  -11.9065  -10.6747   -9.7269   -9.3029  -10.4168   -8.0290   -8.6539   -6.9890  -10.8803  -10.3689   -9.3945   -8.7644   -7.6515   -7.9722   -8.0269   -8.1067   -5.9616   -7.1263   -9.8309   -6.6518
196609   -3.1283   -0.8577   -3.1596   -1.7928   -0.7675   -0.2675   -2.4624   -0.0952   -3.2023   -2.1606   -4.4782   -2.8200   -1.5967   -2.4839   -2.8988   -2.6427   -1.1692   -1.8449   -3.8297   -3.7743   -0.8149    0.6619   -1.5557   -2.5615   -3.3707
196610   -5.0951   -4.1678   -3.4182   -0.5766   -5.0020   -2.4342   -0.9352   -2.7365   -2.7606   -1.4545    1.2940    1.4339    1.7675    0.6228    1.7188   -0.4755    3.8584    1.2047    0.4799   -2.6241    5.0313    5.2906    4.9372    1.3838    5.2453
196611    4.0949    3.3787    4.9497    3.4253    5.3341    5.5157    5.0946    1.3246    1.0464    5.4131    9.9158    5.5648    3.0817    4.5620    6.5496    6.3233    2.1559    4.3079    6.8697    8.6746    3.5615   -0.2858    2.0094    6.9798    2.6849
196612    2.0066    1.5574    0.3140    2.7525    1.6514    1.0425    1.5960    0.5380    2.6763    2.8500    5.1395    2.5730    1.6616    1.9120    1.2279    0.4026    0.0712    3.6954    6.0546    0.6742   -0.4863    0.1051    0.1480    0.9975   -4.4144
196701   20.3665   21.9396   16.1262   18.2207   20.1030   15.8662   15.9397   18.7636   20.8230   20.5550   13.3067   14.5514   15.4904   15.0133   16.4814   14.0257   11.1677    9.7665    9.5097   16.8504    8.9831    6.6622    8.7152    9.3778    6.7191
196702    5.9618    2.3800    2.7586    4.9387    7.8567    2.6161    4.5629    1.9149    3.8133    1.7820    1.3828    2.1356   -0.5533    1.6544    0.5347    2.5338    0.0281    2.3564    1.5921    2.9715    0.2536    0.8738    1.3668    3.8978    0.8730
196703    4.6560    6.6287    5.6287    7.8882    7.7610    5.3743    6.4666    9.4178    4.3743    7.6960    7.0468    3.4490    5.5432    7.5063    9.5739    5.4638    5.7122    6.2295    7.8852    5.1620    4.4175    3.8645    4.4761    6.6901    4.2758
196704    4.3326    4.0633    3.3589    5.5782    5.0734    3.4438    3.5519    2.8602    8.8922    5.4455    7.7109    2.8574    1.8307    4.4168    6.9400    5.6242    3.7906    5.0251    5.8438    8.1722    4.4200    4.6201    2.4149    5.3468    8.0426
196705    1.4386   -0.1098   -0.9893   -0.0570   -0.0992    2.1700   -3.4317   -0.4551   -5.7300   -0.8942   -2.5567   -1.8529   -0.9463   -1.7724   -2.5890   -2.0526   -1.6865   -2.8749   -1.2808    0.5599   -4.8346   -4.6673   -4.7120   -4.5398   -7.4967
196706   14.5957    7.5246   10.9608   11.1651   15.0754    9.1520    5.5158    6.1403    8.8988    9.2389    6.9347    5.6455    4.8370    6.1020    7.9929    4.3140    4.7760    3.7695    4.7406    6.1941    3.1945    2.1011   -0.3335    2.9213    2.6932
196707   11.4469    8.7827    6.8697   10.5569    8.1858    8.3137    7.7918    5.8128    9.7767   11.1096    6.0755    7.4432    6.0535    9.0242    6.4726    9.4414    6.6427    4.5130    5.3370    4.1008    5.9392    2.4840    4.6601    6.5042    7.2370
