
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197910  -7.18  -7.39  -5.89  -7.06  -8.62  -8.81  -9.17  -8.02  -6.17   0.95
197911  -2.90  -2.32  -3.62  -2.78  -2.15  -1.86  -2.89  -2.09  -3.84  -1.94
197912   6.96   5.44   6.35   5.49   7.35   7.24   7.56   6.09   6.25  12.97
198001   4.24   3.08   3.29   2.97   3.55   2.73   3.22   4.22   1.27   9.73
198002  -2.86  -3.63  -2.92  -4.70  -2.69  -2.77  -4.52  -1.97  -4.70   1.38
198003  -6.37  -6.14  -5.75  -5.38  -7.95  -6.38  -6.41  -6.63  -4.64  -8.33
198004   7.85   6.92   9.18   7.45   8.84   6.94   7.31   7.21  10.85   9.42
198005   6.91   7.29   5.13   5.90   6.50   6.32   7.51   6.58   6.00   4.74
198006   5.59   6.60   4.80   4.54   6.42   5.49   9.25   5.20   6.05   1.13
198007  -3.27  -2.49  -3.61  -1.93  -2.45  -2.24  -3.07  -2.91  -4.14  -4.93
198008   5.92   7.15   6.34   6.02   6.22   5.33   7.49   6.30   7.89   2.61
198009   4.59   4.13   4.76   5.01   4.89   6.49   4.46   4.28   6.19   5.43
198010   4.76   4.92   5.55   6.03   6.10   5.42   4.69   2.99   6.58   1.56
198011  -3.05  -2.26  -3.09  -2.99  -3.36  -2.81  -3.30  -2.14  -2.85  -4.49
198012   5.40   6.48   3.81   7.10   5.20   6.75   3.36   7.45   3.52   5.53
198101   1.15   2.78  -0.14   1.35   0.66   1.23   0.79   1.77   1.39  -3.30
198102  -2.10  -1.07  -1.52  -1.19  -1.93  -4.03   0.47  -2.23   0.43  -7.71
198103   4.71   5.86   3.33   8.98   2.72   7.20   0.76   4.02   5.21   0.15
198104   5.40  10.72   1.31  13.51   1.12  11.39   2.98   5.79   4.30  -9.55
198105  -1.58   0.06  -1.41   1.44  -3.19  -1.88  -2.24  -0.70   0.24  -8.86
198106   3.18   6.06   0.98   5.39   1.51   6.99   0.91   2.97   0.76   1.39
198107  -5.29  -3.62  -7.59  -1.74  -7.04  -3.36  -7.86  -4.34  -6.16 -10.10
198108   2.41   1.37   2.46   1.68   2.20   2.51   1.87   5.98  -0.04   8.63
